#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	e-   	Al   	Ar   	C    	Ca   	Cl   	Co   	Cr   	Cu   	F    	Fe   	Ge   	H    	He   	K    	Mg   	Mn   	N    	Na   	Ne   	Ni   	O    	P    	S    	Si   	Ti   	V    	Zn   
0         	1         	3         	ok              	ok              	1.0000000000e-06	2.0000000000e+03	3.9776704156e+12	3.6214815858e+12	1.5013979679e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	1         	3         	ok              	ok              	2.1544350000e-06	2.0000000000e+03	9.3106397953e+12	7.8022466803e+12	1.6312223297e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	1         	3         	ok              	ok              	4.6415890000e-06	2.0000000000e+03	2.1790162017e+13	1.6809429092e+13	1.7719881184e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	1         	3         	ok              	ok              	1.0000000000e-05	2.0000000000e+03	5.0456980742e+13	3.6214815858e+13	1.9045320610e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	1         	3         	ok              	ok              	2.1544350000e-05	2.0000000000e+03	1.1512518025e+14	7.8022466803e+13	2.0169909802e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	1         	4         	ok              	ok              	4.6415890000e-05	2.0000000000e+03	2.5894725413e+14	1.6809429092e+14	2.1057734997e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	1         	4         	ok              	ok              	1.0000000000e-04	2.0000000000e+03	5.7557491078e+14	3.6214815858e+14	2.1725455108e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	1         	4         	ok              	ok              	2.1544350000e-04	2.0000000000e+03	1.2677887816e+15	7.8022466803e+14	2.2211635432e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	1         	4         	ok              	ok              	4.6415890000e-04	2.0000000000e+03	2.7739677385e+15	1.6809429092e+15	2.2558060214e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	1         	4         	ok              	ok              	1.0000000000e-03	2.0000000000e+03	6.0407885987e+15	3.6214815858e+15	2.2801355478e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	1         	4         	ok              	ok              	2.1544350000e-03	2.0000000000e+03	1.3111070479e+16	7.8022466803e+15	2.2970570613e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	1         	5         	ok              	ok              	4.6415890000e-03	2.0000000000e+03	2.8390724733e+16	1.6809429092e+16	2.3087495536e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	1         	5         	ok              	ok              	1.0000000000e-02	2.0000000000e+03	6.1379064563e+16	3.6214815858e+16	2.3167933233e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	1         	5         	ok              	ok              	2.1544350000e-02	2.0000000000e+03	1.3255210942e+17	7.8022466803e+16	2.3223104421e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	1         	5         	ok              	ok              	4.6415890000e-02	2.0000000000e+03	2.8603922152e+17	1.6809429092e+17	2.3260868830e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	1         	5         	ok              	ok              	1.0000000000e-01	2.0000000000e+03	6.1693670343e+17	3.6214815858e+17	2.3286683226e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	1         	5         	ok              	ok              	2.1544350000e-01	2.0000000000e+03	1.3301562958e+18	7.8022466803e+17	2.3304313034e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
