#grid point	p_iterations	c_iterations	p_convergence   	c_convergence   	P (bar)         	T(k)            	n_<H> (cm-3)    	n_g (cm-3)      	m(u)            	e-   	Al   	Ar   	C    	Ca   	Cl   	Co   	Cr   	Cu   	F    	Fe   	Ge   	H    	He   	K    	Mg   	Mn   	N    	Na   	Ne   	Ni   	O    	P    	S    	Si   	Ti   	V    	Zn   
0         	1         	138       	ok              	ok              	1.0000000000e-06	1.0000000000e+02	1.2383890000e+14	7.2429631716e+13	2.3371905313e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	1         	150       	ok              	ok              	2.1544350000e-06	1.0000000000e+02	2.6680286086e+14	1.5604493361e+14	2.3371905342e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	1         	160       	ok              	ok              	4.6415890000e-06	1.0000000000e+02	5.7480927704e+14	3.3618858185e+14	2.3371905356e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	1         	169       	ok              	ok              	1.0000000000e-05	1.0000000000e+02	1.2383890027e+15	7.2429631716e+14	2.3371905363e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	1         	176       	ok              	ok              	2.1544350000e-05	1.0000000000e+02	2.6680286114e+15	1.5604493361e+15	2.3371905367e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	1         	182       	ok              	ok              	4.6415890000e-05	1.0000000000e+02	5.7480927733e+15	3.3618858185e+15	2.3371905368e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	1         	188       	ok              	ok              	1.0000000000e-04	1.0000000000e+02	1.2383890030e+16	7.2429631716e+15	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	1         	193       	ok              	ok              	2.1544350000e-04	1.0000000000e+02	2.6680286117e+16	1.5604493361e+16	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	1         	198       	ok              	ok              	4.6415890000e-04	1.0000000000e+02	5.7480927735e+16	3.3618858185e+16	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	1         	203       	ok              	ok              	1.0000000000e-03	1.0000000000e+02	1.2383890030e+17	7.2429631716e+16	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	1         	207       	ok              	ok              	2.1544350000e-03	1.0000000000e+02	2.6680286117e+17	1.5604493361e+17	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	1         	211       	ok              	ok              	4.6415890000e-03	1.0000000000e+02	5.7480927736e+17	3.3618858185e+17	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	1         	215       	ok              	ok              	1.0000000000e-02	1.0000000000e+02	1.2383890030e+18	7.2429631716e+17	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	1         	218       	ok              	ok              	2.1544350000e-02	1.0000000000e+02	2.6680286117e+18	1.5604493361e+18	2.3371905370e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	1         	222       	ok              	ok              	4.6415890000e-02	1.0000000000e+02	5.7480927736e+18	3.3618858185e+18	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	1         	226       	ok              	ok              	1.0000000000e-01	1.0000000000e+02	1.2383890030e+19	7.2429631716e+18	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	1         	229       	ok              	ok              	2.1544350000e-01	1.0000000000e+02	2.6680286118e+19	1.5604493361e+19	2.3371905370e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	1         	233       	ok              	ok              	4.6415890000e-01	1.0000000000e+02	5.7480927736e+19	3.3618858185e+19	2.3371905369e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	1         	236       	ok              	ok              	1.0000000000e+00	1.0000000000e+02	1.2383890031e+20	7.2429631716e+19	2.3371905370e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	1         	240       	ok              	ok              	2.1544350000e+00	1.0000000000e+02	2.6680286119e+20	1.5604493361e+20	2.3371905370e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	1         	243       	ok              	ok              	4.6415890000e+00	1.0000000000e+02	5.7480927739e+20	3.3618858185e+20	2.3371905371e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	1         	247       	ok              	ok              	1.0000000000e+01	1.0000000000e+02	1.2383890031e+21	7.2429631716e+20	2.3371905372e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	1         	250       	ok              	ok              	2.1544350000e+01	1.0000000000e+02	2.6680286121e+21	1.5604493361e+21	2.3371905373e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	1         	253       	ok              	ok              	4.6415890000e+01	1.0000000000e+02	5.7480927747e+21	3.3618858185e+21	2.3371905375e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	1         	257       	ok              	ok              	1.0000000000e+02	1.0000000000e+02	1.2383890034e+22	7.2429631716e+21	2.3371905377e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	1         	260       	ok              	ok              	2.1544350000e+02	1.0000000000e+02	2.6680286130e+22	1.5604493361e+22	2.3371905381e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	1         	264       	ok              	ok              	4.6415890000e+02	1.0000000000e+02	5.7480927774e+22	3.3618858185e+22	2.3371905385e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	1         	267       	ok              	ok              	1.0000000000e+03	1.0000000000e+02	1.2383890043e+23	7.2429631716e+22	2.3371905393e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	1         	26        	ok              	ok              	1.0000000000e-06	1.5000000000e+02	8.2559258948e+13	4.8286421144e+13	2.3371903119e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	1         	26        	ok              	ok              	2.1544350000e-06	1.5000000000e+02	1.7786855732e+14	1.0402995574e+14	2.3371903154e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	1         	26        	ok              	ok              	4.6415890000e-06	1.5000000000e+02	3.8320614918e+14	2.2412572123e+14	2.3371903180e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	1         	26        	ok              	ok              	1.0000000000e-05	1.5000000000e+02	8.2559259252e+14	4.8286421144e+14	2.3371903205e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	1         	26        	ok              	ok              	2.1544350000e-05	1.5000000000e+02	1.7786855784e+15	1.0402995574e+15	2.3371903223e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
33        	1         	27        	ok              	ok              	4.6415890000e-05	1.5000000000e+02	3.8320615008e+15	2.2412572123e+15	2.3371903232e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
34        	1         	28        	ok              	ok              	1.0000000000e-04	1.5000000000e+02	8.2559259422e+15	4.8286421144e+15	2.3371903253e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
35        	1         	61        	ok              	ok              	2.1544350000e-04	1.5000000000e+02	1.7786855823e+16	1.0402995574e+16	2.3371903281e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	1         	60        	ok              	ok              	4.6415890000e-04	1.5000000000e+02	3.8320615122e+16	2.2412572123e+16	2.3371903316e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	1         	59        	ok              	ok              	1.0000000000e-03	1.5000000000e+02	8.2559259835e+16	4.8286421144e+16	2.3371903378e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	1         	57        	ok              	ok              	2.1544350000e-03	1.5000000000e+02	1.7786855981e+17	1.0402995574e+17	2.3371903490e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	1         	55        	ok              	ok              	4.6415890000e-03	1.5000000000e+02	3.8320615701e+17	2.2412572123e+17	2.3371903668e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
