#pressure (bar)	 temperature (K)
1.003857e-06	1.535117e+03
1.311430e-06	1.541806e+03
1.708354e-06	1.548495e+03
2.223613e-06	1.555184e+03
2.886256e-06	1.561873e+03
3.736435e-06	1.568562e+03
4.828876e-06	1.575251e+03
6.230737e-06	1.581940e+03
8.018677e-06	1.588629e+03
1.029360e-05	1.595318e+03
1.320669e-05	1.602007e+03
1.690009e-05	1.608696e+03
2.157611e-05	1.615385e+03
2.750577e-05	1.622074e+03
3.501733e-05	1.628763e+03
4.447593e-05	1.635452e+03
5.635470e-05	1.642140e+03
7.138698e-05	1.648829e+03
9.022150e-05	1.655518e+03
1.137882e-04	1.662207e+03
1.433263e-04	1.668896e+03
1.803327e-04	1.675585e+03
2.263974e-04	1.682274e+03
2.836445e-04	1.688963e+03
3.553734e-04	1.695652e+03
4.442751e-04	1.702341e+03
5.544000e-04	1.709030e+03
6.910753e-04	1.715719e+03
8.607402e-04	1.722408e+03
1.069869e-03	1.729097e+03
1.327345e-03	1.735786e+03
1.647300e-03	1.742475e+03
2.040333e-03	1.749164e+03
2.523096e-03	1.755853e+03
3.117368e-03	1.762542e+03
3.849368e-03	1.769231e+03
4.744465e-03	1.775920e+03
5.837595e-03	1.782609e+03
7.186658e-03	1.789298e+03
8.831259e-03	1.795987e+03
1.083681e-02	1.802676e+03
1.328953e-02	1.809365e+03
1.629070e-02	1.816054e+03
1.993725e-02	1.822742e+03
2.436106e-02	1.829431e+03
2.979281e-02	1.836120e+03
3.637364e-02	1.842809e+03
4.435022e-02	1.849498e+03
5.405868e-02	1.856187e+03
6.587317e-02	1.862876e+03
8.016066e-02	1.869565e+03
9.740075e-02	1.876254e+03
1.184655e-01	1.882943e+03
1.438681e-01	1.889632e+03
1.745231e-01	1.896321e+03
2.116871e-01	1.903010e+03
2.567249e-01	1.909699e+03
3.109998e-01	1.916388e+03
3.762251e-01	1.923077e+03
4.556067e-01	1.929766e+03
5.510863e-01	1.936455e+03
6.658860e-01	1.943144e+03
8.045991e-01	1.949833e+03
9.719939e-01	1.956522e+03
1.173180e+00	1.963211e+03
1.414354e+00	1.969900e+03
1.707045e+00	1.976589e+03
2.058152e+00	1.983278e+03
2.478494e+00	1.989967e+03
2.984618e+00	1.996656e+03
3.593224e+00	2.003344e+03
4.321591e+00	2.010033e+03
5.191419e+00	2.016722e+03
6.238692e+00	2.023411e+03
7.486100e+00	2.030100e+03
8.967100e+00	2.036789e+03
1.058311e+01	2.043478e+03
1.239705e+01	2.050167e+03
1.448787e+01	2.056856e+03
1.689124e+01	2.063545e+03
1.975692e+01	2.070234e+03
2.297642e+01	2.076923e+03
2.665528e+01	2.083612e+03
3.099212e+01	2.090301e+03
3.597355e+01	2.096990e+03
4.151988e+01	2.103679e+03
4.780278e+01	2.110368e+03
5.543201e+01	2.117057e+03
6.382117e+01	2.123746e+03
7.309558e+01	2.130435e+03
8.392070e+01	2.137124e+03
9.658939e+01	2.143813e+03
1.102827e+02	2.150502e+03
1.253537e+02	2.157191e+03
1.435400e+02	2.163880e+03
1.639851e+02	2.170569e+03
1.856852e+02	2.177258e+03
2.105523e+02	2.183946e+03
2.393567e+02	2.190635e+03
2.714761e+02	2.197324e+03
3.049791e+02	2.204013e+03
3.450543e+02	2.210702e+03
3.895705e+02	2.217391e+03
4.384925e+02	2.224080e+03
4.916213e+02	2.230769e+03
5.526206e+02	2.237458e+03
6.199880e+02	2.244147e+03
6.927668e+02	2.250836e+03
7.755549e+02	2.257525e+03
8.666781e+02	2.264214e+03
9.668357e+02	2.270903e+03
