#pressure (bar)	 temperature (K)
1.180876e-06	1.446894e+03
1.428043e-06	1.451904e+03
1.724072e-06	1.456914e+03
2.079272e-06	1.461924e+03
2.504618e-06	1.466934e+03
3.012587e-06	1.471944e+03
3.620769e-06	1.476954e+03
4.343739e-06	1.481964e+03
5.209194e-06	1.486974e+03
6.233330e-06	1.491984e+03
7.459116e-06	1.496994e+03
8.904926e-06	1.502004e+03
1.063133e-05	1.507014e+03
1.266551e-05	1.512024e+03
1.508367e-05	1.517034e+03
1.793279e-05	1.522044e+03
2.130492e-05	1.527054e+03
2.527789e-05	1.532064e+03
2.995996e-05	1.537074e+03
3.547610e-05	1.542084e+03
4.194922e-05	1.547094e+03
4.957536e-05	1.552104e+03
5.848724e-05	1.557114e+03
6.898641e-05	1.562124e+03
8.120542e-05	1.567134e+03
9.560067e-05	1.572144e+03
1.123183e-04	1.577154e+03
1.319440e-04	1.582164e+03
1.547319e-04	1.587174e+03
1.813760e-04	1.592184e+03
2.123161e-04	1.597194e+03
2.483486e-04	1.602204e+03
2.901950e-04	1.607214e+03
3.387387e-04	1.612224e+03
3.951209e-04	1.617234e+03
4.602752e-04	1.622244e+03
5.359592e-04	1.627255e+03
6.230870e-04	1.632265e+03
7.243081e-04	1.637275e+03
8.404528e-04	1.642285e+03
9.752863e-04	1.647295e+03
1.129812e-03	1.652305e+03
1.308534e-03	1.657315e+03
1.513402e-03	1.662325e+03
1.749481e-03	1.667335e+03
2.020151e-03	1.672345e+03
2.330934e-03	1.677355e+03
2.687334e-03	1.682365e+03
3.095090e-03	1.687375e+03
3.562810e-03	1.692385e+03
4.096040e-03	1.697395e+03
4.707836e-03	1.702405e+03
5.402911e-03	1.707415e+03
6.200587e-03	1.712425e+03
7.104783e-03	1.717435e+03
8.140507e-03	1.722445e+03
9.314040e-03	1.727455e+03
1.065370e-02	1.732465e+03
1.217213e-02	1.737475e+03
1.389967e-02	1.742485e+03
1.585837e-02	1.747495e+03
1.807946e-02	1.752505e+03
2.059861e-02	1.757515e+03
2.344590e-02	1.762525e+03
2.667637e-02	1.767535e+03
3.031589e-02	1.772545e+03
3.444674e-02	1.777555e+03
3.908580e-02	1.782565e+03
4.435302e-02	1.787575e+03
5.026010e-02	1.792585e+03
5.694747e-02	1.797595e+03
6.444958e-02	1.802605e+03
7.291605e-02	1.807615e+03
8.241806e-02	1.812625e+03
9.310843e-02	1.817635e+03
1.051117e-01	1.822645e+03
1.185752e-01	1.827655e+03
1.336988e-01	1.832665e+03
1.506111e-01	1.837675e+03
1.696175e-01	1.842685e+03
1.908085e-01	1.847695e+03
2.146346e-01	1.852705e+03
2.411352e-01	1.857715e+03
2.709163e-01	1.862725e+03
3.040192e-01	1.867735e+03
3.411106e-01	1.872745e+03
3.823606e-01	1.877756e+03
4.284473e-01	1.882766e+03
4.797279e-01	1.887776e+03
5.368579e-01	1.892786e+03
6.004601e-01	1.897796e+03
6.711168e-01	1.902806e+03
7.498206e-01	1.907816e+03
8.370090e-01	1.912826e+03
9.341803e-01	1.917836e+03
1.041529e+00	1.922846e+03
1.161235e+00	1.927856e+03
1.293261e+00	1.932866e+03
1.440249e+00	1.937876e+03
1.602365e+00	1.942886e+03
1.782354e+00	1.947896e+03
1.980978e+00	1.952906e+03
2.200891e+00	1.957916e+03
2.443700e+00	1.962926e+03
2.711793e+00	1.967936e+03
3.007945e+00	1.972946e+03
3.334028e+00	1.977956e+03
3.694401e+00	1.982966e+03
4.090084e+00	1.987976e+03
4.527540e+00	1.992986e+03
5.006488e+00	1.997996e+03
5.536139e+00	2.003006e+03
6.115311e+00	2.008016e+03
6.753860e+00	2.013026e+03
7.452153e+00	2.018036e+03
8.219558e+00	2.023046e+03
9.058755e+00	2.028056e+03
9.930387e+00	2.033066e+03
1.085093e+01	2.038076e+03
1.184482e+01	2.043086e+03
1.291578e+01	2.048096e+03
1.408271e+01	2.053106e+03
1.533496e+01	2.058116e+03
1.668837e+01	2.063126e+03
1.816337e+01	2.068136e+03
1.973076e+01	2.073146e+03
2.146366e+01	2.078156e+03
2.328819e+01	2.083166e+03
2.530719e+01	2.088176e+03
2.742746e+01	2.093186e+03
2.977513e+01	2.098196e+03
3.223508e+01	2.103206e+03
3.494530e+01	2.108216e+03
3.780933e+01	2.113226e+03
4.091653e+01	2.118236e+03
4.426165e+01	2.123246e+03
4.782054e+01	2.128257e+03
5.171836e+01	2.133267e+03
5.579084e+01	2.138277e+03
6.032241e+01	2.143287e+03
6.500559e+01	2.148297e+03
7.022874e+01	2.153307e+03
7.562637e+01	2.158317e+03
8.158309e+01	2.163327e+03
8.783762e+01	2.168337e+03
9.462556e+01	2.173347e+03
1.018582e+02	2.178357e+03
1.095904e+02	2.183367e+03
1.179401e+02	2.188377e+03
1.267353e+02	2.193387e+03
1.363513e+02	2.198397e+03
1.463522e+02	2.203407e+03
1.573575e+02	2.208417e+03
1.687782e+02	2.213427e+03
1.813320e+02	2.218437e+03
1.944518e+02	2.223447e+03
2.086862e+02	2.228457e+03
2.237316e+02	2.233467e+03
2.398621e+02	2.238477e+03
2.570869e+02	2.243487e+03
2.753555e+02	2.248497e+03
2.950217e+02	2.253507e+03
3.157222e+02	2.258517e+03
3.380680e+02	2.263527e+03
3.615848e+02	2.268537e+03
3.869522e+02	2.273547e+03
4.136402e+02	2.278557e+03
4.424125e+02	2.283567e+03
4.727238e+02	2.288577e+03
5.052741e+02	2.293587e+03
5.397388e+02	2.298597e+03
5.764595e+02	2.303607e+03
6.155135e+02	2.308617e+03
6.569990e+02	2.313627e+03
7.011705e+02	2.318637e+03
7.480423e+02	2.323647e+03
7.979627e+02	2.328657e+03
8.508718e+02	2.333667e+03
9.072461e+02	2.338677e+03
9.669182e+02	2.343687e+03
