#pressure (bar)	 temperature (K)
1.020742e-06	1.046092e+03
1.113377e-06	1.048096e+03
1.214036e-06	1.050100e+03
1.323372e-06	1.052104e+03
1.442143e-06	1.054108e+03
1.571071e-06	1.056112e+03
1.710983e-06	1.058116e+03
1.862773e-06	1.060120e+03
2.027443e-06	1.062124e+03
2.206049e-06	1.064128e+03
2.399655e-06	1.066132e+03
2.609445e-06	1.068136e+03
2.836699e-06	1.070140e+03
3.082944e-06	1.072144e+03
3.349622e-06	1.074148e+03
3.638287e-06	1.076152e+03
3.950659e-06	1.078156e+03
4.288580e-06	1.080160e+03
4.654315e-06	1.082164e+03
5.049804e-06	1.084168e+03
5.477324e-06	1.086172e+03
5.939329e-06	1.088176e+03
6.438633e-06	1.090180e+03
6.978283e-06	1.092184e+03
7.560980e-06	1.094188e+03
8.190028e-06	1.096192e+03
8.868973e-06	1.098196e+03
9.602101e-06	1.100200e+03
1.039323e-05	1.102204e+03
1.124647e-05	1.104208e+03
1.216633e-05	1.106212e+03
1.315827e-05	1.108216e+03
1.422808e-05	1.110220e+03
1.538086e-05	1.112224e+03
1.662264e-05	1.114228e+03
1.796061e-05	1.116232e+03
1.940131e-05	1.118236e+03
2.095313e-05	1.120240e+03
2.262345e-05	1.122244e+03
2.442158e-05	1.124248e+03
2.635587e-05	1.126253e+03
2.843729e-05	1.128257e+03
3.067672e-05	1.130261e+03
3.308489e-05	1.132265e+03
3.567314e-05	1.134269e+03
3.845418e-05	1.136273e+03
4.144673e-05	1.138277e+03
4.466199e-05	1.140281e+03
4.811444e-05	1.142285e+03
5.182154e-05	1.144289e+03
5.580420e-05	1.146293e+03
6.008250e-05	1.148297e+03
6.467326e-05	1.150301e+03
6.960234e-05	1.152305e+03
7.488916e-05	1.154309e+03
8.056169e-05	1.156313e+03
8.665043e-05	1.158317e+03
9.318113e-05	1.160321e+03
1.001809e-04	1.162325e+03
1.076838e-04	1.164329e+03
1.157387e-04	1.166333e+03
1.243677e-04	1.168337e+03
1.336091e-04	1.170341e+03
1.435173e-04	1.172345e+03
1.541288e-04	1.174349e+03
1.655018e-04	1.176353e+03
1.776862e-04	1.178357e+03
1.907259e-04	1.180361e+03
2.046762e-04	1.182365e+03
2.196277e-04	1.184369e+03
2.356404e-04	1.186373e+03
2.527647e-04	1.188377e+03
2.710883e-04	1.190381e+03
2.906852e-04	1.192385e+03
3.116645e-04	1.194389e+03
3.341148e-04	1.196393e+03
3.581238e-04	1.198397e+03
3.837740e-04	1.200401e+03
4.112069e-04	1.202405e+03
4.405745e-04	1.204409e+03
4.719396e-04	1.206413e+03
5.054783e-04	1.208417e+03
5.413131e-04	1.210421e+03
5.796071e-04	1.212425e+03
6.205752e-04	1.214429e+03
6.643209e-04	1.216433e+03
7.109984e-04	1.218437e+03
7.608956e-04	1.220441e+03
8.142524e-04	1.222445e+03
8.711883e-04	1.224449e+03
9.320396e-04	1.226453e+03
9.969287e-04	1.228457e+03
1.066167e-03	1.230461e+03
1.140307e-03	1.232465e+03
1.219353e-03	1.234469e+03
1.303688e-03	1.236473e+03
1.393696e-03	1.238477e+03
1.489729e-03	1.240481e+03
1.592362e-03	1.242485e+03
1.701874e-03	1.244489e+03
1.818542e-03	1.246493e+03
1.943119e-03	1.248497e+03
2.076150e-03	1.250501e+03
2.217930e-03	1.252505e+03
2.369424e-03	1.254509e+03
2.530751e-03	1.256513e+03
2.702785e-03	1.258517e+03
2.886821e-03	1.260521e+03
3.082654e-03	1.262525e+03
3.291582e-03	1.264529e+03
3.514290e-03	1.266533e+03
3.751660e-03	1.268537e+03
4.005590e-03	1.270541e+03
4.275879e-03	1.272545e+03
4.563608e-03	1.274549e+03
4.870682e-03	1.276553e+03
5.198250e-03	1.278557e+03
5.547801e-03	1.280561e+03
5.920380e-03	1.282565e+03
6.316547e-03	1.284569e+03
6.739603e-03	1.286573e+03
7.191079e-03	1.288577e+03
7.671859e-03	1.290581e+03
8.184896e-03	1.292585e+03
8.730510e-03	1.294589e+03
9.312994e-03	1.296593e+03
9.934631e-03	1.298597e+03
1.059577e-02	1.300601e+03
1.130211e-02	1.302605e+03
1.205318e-02	1.304609e+03
1.285544e-02	1.306613e+03
1.371118e-02	1.308617e+03
1.462090e-02	1.310621e+03
1.559168e-02	1.312625e+03
1.662546e-02	1.314629e+03
1.772885e-02	1.316633e+03
1.890698e-02	1.318637e+03
2.015861e-02	1.320641e+03
2.149269e-02	1.322645e+03
2.291661e-02	1.324649e+03
2.443346e-02	1.326653e+03
2.605401e-02	1.328657e+03
2.777700e-02	1.330661e+03
2.961040e-02	1.332665e+03
3.157196e-02	1.334669e+03
3.365901e-02	1.336673e+03
3.588652e-02	1.338677e+03
3.825773e-02	1.340681e+03
4.078015e-02	1.342685e+03
4.348224e-02	1.344689e+03
4.635512e-02	1.346693e+03
4.941888e-02	1.348697e+03
5.268378e-02	1.350701e+03
5.616008e-02	1.352705e+03
5.988173e-02	1.354709e+03
6.383787e-02	1.356713e+03
6.805187e-02	1.358717e+03
7.254734e-02	1.360721e+03
7.734062e-02	1.362725e+03
8.246354e-02	1.364729e+03
8.791349e-02	1.366733e+03
9.371155e-02	1.368737e+03
9.990583e-02	1.370741e+03
1.065153e-01	1.372745e+03
1.135657e-01	1.374749e+03
1.210791e-01	1.376754e+03
1.290608e-01	1.378758e+03
1.376065e-01	1.380762e+03
1.467151e-01	1.382766e+03
1.564210e-01	1.384770e+03
