#pressure (bar)	 temperature (K)
1.088237e-06	1.204409e+03
1.243988e-06	1.208417e+03
1.420728e-06	1.212425e+03
1.621107e-06	1.216433e+03
1.848086e-06	1.220441e+03
2.104974e-06	1.224449e+03
2.395458e-06	1.228457e+03
2.723654e-06	1.232465e+03
3.094141e-06	1.236473e+03
3.512020e-06	1.240481e+03
3.982962e-06	1.244489e+03
4.513267e-06	1.248497e+03
5.109935e-06	1.252505e+03
5.780727e-06	1.256513e+03
6.534251e-06	1.260521e+03
7.380041e-06	1.264529e+03
8.328651e-06	1.268537e+03
9.391759e-06	1.272545e+03
1.058226e-05	1.276553e+03
1.191443e-05	1.280561e+03
1.340397e-05	1.284569e+03
1.506825e-05	1.288577e+03
1.692640e-05	1.292585e+03
1.899946e-05	1.296593e+03
2.131064e-05	1.300601e+03
2.388542e-05	1.304609e+03
2.675183e-05	1.308617e+03
2.994064e-05	1.312625e+03
3.348566e-05	1.316633e+03
3.742394e-05	1.320641e+03
4.179609e-05	1.324649e+03
4.664665e-05	1.328657e+03
5.202430e-05	1.332665e+03
5.798241e-05	1.336673e+03
6.457920e-05	1.340681e+03
7.187840e-05	1.344689e+03
7.994955e-05	1.348697e+03
8.886854e-05	1.352705e+03
9.871821e-05	1.356713e+03
1.095887e-04	1.360721e+03
1.215785e-04	1.364729e+03
1.347945e-04	1.368737e+03
1.493532e-04	1.372745e+03
1.653812e-04	1.376754e+03
1.830162e-04	1.380762e+03
2.024079e-04	1.384770e+03
2.237183e-04	1.388778e+03
2.471238e-04	1.392786e+03
2.728153e-04	1.396794e+03
3.009998e-04	1.400802e+03
3.319015e-04	1.404810e+03
3.657632e-04	1.408818e+03
4.028477e-04	1.412826e+03
4.434389e-04	1.416834e+03
4.878441e-04	1.420842e+03
5.363949e-04	1.424850e+03
5.894497e-04	1.428858e+03
6.473950e-04	1.432866e+03
7.106479e-04	1.436874e+03
7.796583e-04	1.440882e+03
8.549104e-04	1.444890e+03
9.369269e-04	1.448898e+03
1.026269e-03	1.452906e+03
1.123541e-03	1.456914e+03
1.229395e-03	1.460922e+03
1.344528e-03	1.464930e+03
1.469694e-03	1.468938e+03
1.605697e-03	1.472946e+03
1.753405e-03	1.476954e+03
1.913746e-03	1.480962e+03
2.087719e-03	1.484970e+03
2.276392e-03	1.488978e+03
2.480909e-03	1.492986e+03
2.702499e-03	1.496994e+03
2.942473e-03	1.501002e+03
3.202239e-03	1.505010e+03
3.483299e-03	1.509018e+03
3.787261e-03	1.513026e+03
4.115844e-03	1.517034e+03
4.470882e-03	1.521042e+03
4.854340e-03	1.525050e+03
5.268305e-03	1.529058e+03
5.715015e-03	1.533066e+03
6.196849e-03	1.537074e+03
6.716348e-03	1.541082e+03
7.276218e-03	1.545090e+03
7.879341e-03	1.549098e+03
8.528792e-03	1.553106e+03
9.227834e-03	1.557114e+03
9.979951e-03	1.561122e+03
1.078884e-02	1.565130e+03
1.165843e-02	1.569138e+03
1.259291e-02	1.573146e+03
1.359671e-02	1.577154e+03
1.467457e-02	1.581162e+03
1.583148e-02	1.585170e+03
1.707277e-02	1.589178e+03
1.840407e-02	1.593186e+03
1.983136e-02	1.597194e+03
2.136100e-02	1.601202e+03
2.299969e-02	1.605210e+03
2.475458e-02	1.609218e+03
2.663318e-02	1.613226e+03
2.864350e-02	1.617234e+03
3.079398e-02	1.621242e+03
3.309356e-02	1.625251e+03
3.555171e-02	1.629259e+03
3.817842e-02	1.633267e+03
4.098426e-02	1.637275e+03
4.398039e-02	1.641283e+03
4.717863e-02	1.645291e+03
5.059141e-02	1.649299e+03
5.423190e-02	1.653307e+03
5.811396e-02	1.657315e+03
6.225223e-02	1.661323e+03
6.666217e-02	1.665331e+03
7.136002e-02	1.669339e+03
7.636297e-02	1.673347e+03
8.168907e-02	1.677355e+03
8.735738e-02	1.681363e+03
9.338794e-02	1.685371e+03
9.980185e-02	1.689379e+03
1.066214e-01	1.693387e+03
1.138698e-01	1.697395e+03
1.215718e-01	1.701403e+03
1.297531e-01	1.705411e+03
1.384411e-01	1.709419e+03
1.476641e-01	1.713427e+03
1.574523e-01	1.717435e+03
1.678371e-01	1.721443e+03
1.788516e-01	1.725451e+03
1.905307e-01	1.729459e+03
2.029107e-01	1.733467e+03
2.160299e-01	1.737475e+03
2.299285e-01	1.741483e+03
