#pressure (bar)	 temperature (K)
1.202211e-06	1.045090e+03
1.451230e-06	1.049098e+03
1.749027e-06	1.053106e+03
2.105293e-06	1.057114e+03
2.529812e-06	1.061122e+03
3.036441e-06	1.065130e+03
3.638689e-06	1.069138e+03
4.354627e-06	1.073146e+03
5.204285e-06	1.077154e+03
6.210504e-06	1.081162e+03
7.402736e-06	1.085170e+03
8.809953e-06	1.089178e+03
1.047350e-05	1.093186e+03
1.243277e-05	1.097194e+03
1.474047e-05	1.101202e+03
1.745443e-05	1.105210e+03
2.063962e-05	1.109218e+03
2.438019e-05	1.113226e+03
2.875670e-05	1.117234e+03
3.388522e-05	1.121242e+03
3.987392e-05	1.125251e+03
4.686753e-05	1.129259e+03
5.502357e-05	1.133267e+03
6.451613e-05	1.137275e+03
7.557242e-05	1.141283e+03
8.840374e-05	1.145291e+03
1.033182e-04	1.149299e+03
1.205965e-04	1.153307e+03
1.406150e-04	1.157315e+03
1.637796e-04	1.161323e+03
1.905325e-04	1.165331e+03
2.214552e-04	1.169339e+03
2.570731e-04	1.173347e+03
2.981624e-04	1.177355e+03
3.454154e-04	1.181363e+03
3.997603e-04	1.185371e+03
4.621935e-04	1.189379e+03
5.337818e-04	1.193387e+03
6.159430e-04	1.197395e+03
7.099188e-04	1.201403e+03
8.175747e-04	1.205411e+03
9.405347e-04	1.209419e+03
1.080985e-03	1.213427e+03
1.241259e-03	1.217435e+03
1.423808e-03	1.221443e+03
1.631940e-03	1.225451e+03
1.868458e-03	1.229459e+03
2.137641e-03	1.233467e+03
2.443140e-03	1.237475e+03
2.789878e-03	1.241483e+03
3.183084e-03	1.245491e+03
3.628160e-03	1.249499e+03
4.132500e-03	1.253507e+03
4.702146e-03	1.257515e+03
5.346539e-03	1.261523e+03
6.073537e-03	1.265531e+03
6.893766e-03	1.269539e+03
7.818511e-03	1.273547e+03
8.859172e-03	1.277555e+03
1.003164e-02	1.281563e+03
1.134845e-02	1.285571e+03
1.282958e-02	1.289579e+03
1.449132e-02	1.293587e+03
1.635579e-02	1.297595e+03
1.844635e-02	1.301603e+03
2.078616e-02	1.305611e+03
2.340819e-02	1.309619e+03
2.633734e-02	1.313627e+03
2.961449e-02	1.317635e+03
3.327213e-02	1.321643e+03
3.735449e-02	1.325651e+03
4.190841e-02	1.329659e+03
4.697916e-02	1.333667e+03
5.263260e-02	1.337675e+03
5.891657e-02	1.341683e+03
6.591147e-02	1.345691e+03
7.367989e-02	1.349699e+03
8.230716e-02	1.353707e+03
9.188356e-02	1.357715e+03
1.024945e-01	1.361723e+03
1.142665e-01	1.365731e+03
1.272882e-01	1.369739e+03
1.417112e-01	1.373747e+03
1.576516e-01	1.377756e+03
1.752678e-01	1.381764e+03
1.947259e-01	1.385772e+03
2.161798e-01	1.389780e+03
2.398620e-01	1.393788e+03
2.659290e-01	1.397796e+03
2.946507e-01	1.401804e+03
3.262361e-01	1.405812e+03
3.609565e-01	1.409820e+03
3.991028e-01	1.413828e+03
4.409452e-01	1.417836e+03
4.868599e-01	1.421844e+03
5.371338e-01	1.425852e+03
5.921928e-01	1.429860e+03
6.523767e-01	1.433868e+03
7.181533e-01	1.437876e+03
7.899440e-01	1.441884e+03
8.682003e-01	1.445892e+03
9.534857e-01	1.449900e+03
1.046229e+00	1.453908e+03
1.147039e+00	1.457916e+03
1.256372e+00	1.461924e+03
1.374855e+00	1.465932e+03
1.503197e+00	1.469940e+03
1.642061e+00	1.473948e+03
1.791928e+00	1.477956e+03
1.953955e+00	1.481964e+03
2.128195e+00	1.485972e+03
2.315506e+00	1.489980e+03
2.517044e+00	1.493988e+03
2.733271e+00	1.497996e+03
2.965895e+00	1.502004e+03
3.214196e+00	1.506012e+03
3.479706e+00	1.510020e+03
3.763921e+00	1.514028e+03
4.067852e+00	1.518036e+03
4.391722e+00	1.522044e+03
4.736071e+00	1.526052e+03
5.103815e+00	1.530060e+03
5.495686e+00	1.534068e+03
5.911183e+00	1.538076e+03
6.352690e+00	1.542084e+03
6.823941e+00	1.546092e+03
7.322526e+00	1.550100e+03
7.851604e+00	1.554108e+03
8.415408e+00	1.558116e+03
9.010244e+00	1.562124e+03
9.696340e+00	1.566132e+03
1.046109e+01	1.570140e+03
1.130778e+01	1.574148e+03
1.220267e+01	1.578156e+03
1.317253e+01	1.582164e+03
1.418833e+01	1.586172e+03
1.529604e+01	1.590180e+03
1.648168e+01	1.594188e+03
1.770878e+01	1.598196e+03
1.905911e+01	1.602204e+03
2.044433e+01	1.606212e+03
2.197657e+01	1.610220e+03
2.353966e+01	1.614228e+03
2.527421e+01	1.618236e+03
2.708476e+01	1.622244e+03
2.899465e+01	1.626253e+03
3.108340e+01	1.630261e+03
3.318469e+01	1.634269e+03
3.553648e+01	1.638277e+03
3.789565e+01	1.642285e+03
4.053862e+01	1.646293e+03
4.327531e+01	1.650301e+03
4.601189e+01	1.654309e+03
4.893404e+01	1.658317e+03
5.190480e+01	1.662325e+03
5.519710e+01	1.666333e+03
5.844675e+01	1.670341e+03
6.209732e+01	1.674349e+03
6.577941e+01	1.678357e+03
6.974194e+01	1.682365e+03
7.390318e+01	1.686373e+03
7.820089e+01	1.690381e+03
8.288395e+01	1.694389e+03
8.754987e+01	1.698397e+03
9.274963e+01	1.702405e+03
9.796619e+01	1.706413e+03
1.036013e+02	1.710421e+03
1.094533e+02	1.714429e+03
1.155602e+02	1.718437e+03
1.221011e+02	1.722445e+03
1.287253e+02	1.726453e+03
1.360102e+02	1.730461e+03
1.433152e+02	1.734469e+03
1.512045e+02	1.738477e+03
1.593403e+02	1.742485e+03
1.678834e+02	1.746493e+03
1.769212e+02	1.750501e+03
1.861798e+02	1.754509e+03
1.961902e+02	1.758517e+03
2.063579e+02	1.762525e+03
2.172519e+02	1.766533e+03
2.284424e+02	1.770541e+03
2.402291e+02	1.774549e+03
2.525916e+02	1.778557e+03
2.653565e+02	1.782565e+03
2.789749e+02	1.786573e+03
2.929397e+02	1.790581e+03
3.077743e+02	1.794589e+03
3.230356e+02	1.798597e+03
3.390969e+02	1.802605e+03
3.558457e+02	1.806613e+03
3.732243e+02	1.810621e+03
3.915854e+02	1.814629e+03
4.105322e+02	1.818637e+03
4.304847e+02	1.822645e+03
4.511221e+02	1.826653e+03
4.727628e+02	1.830661e+03
4.952481e+02	1.834669e+03
5.186389e+02	1.838677e+03
5.431816e+02	1.842685e+03
5.686042e+02	1.846693e+03
5.952118e+02	1.850701e+03
6.228193e+02	1.854709e+03
6.516472e+02	1.858717e+03
6.816028e+02	1.862725e+03
7.127590e+02	1.866733e+03
7.452938e+02	1.870741e+03
7.790606e+02	1.874749e+03
8.142536e+02	1.878758e+03
8.508213e+02	1.882766e+03
8.888663e+02	1.886774e+03
9.284375e+02	1.890782e+03
9.695413e+02	1.894790e+03
