#pressure (bar)	 temperature (K)
1.098298e-06	1.077154e+03
1.330103e-06	1.081162e+03
1.608682e-06	1.085170e+03
1.942786e-06	1.089178e+03
2.343285e-06	1.093186e+03
2.822353e-06	1.097194e+03
3.394882e-06	1.101202e+03
4.078111e-06	1.105210e+03
4.892273e-06	1.109218e+03
5.861415e-06	1.113226e+03
7.013246e-06	1.117234e+03
8.380929e-06	1.121242e+03
1.000201e-05	1.125251e+03
1.192178e-05	1.129259e+03
1.419221e-05	1.133267e+03
1.687353e-05	1.137275e+03
2.003711e-05	1.141283e+03
2.376452e-05	1.145291e+03
2.815138e-05	1.149299e+03
3.330777e-05	1.153307e+03
3.936197e-05	1.157315e+03
4.646152e-05	1.161323e+03
5.477741e-05	1.165331e+03
6.450724e-05	1.169339e+03
7.587852e-05	1.173347e+03
8.915251e-05	1.177355e+03
1.046318e-04	1.181363e+03
1.226624e-04	1.185371e+03
1.436408e-04	1.189379e+03
1.680243e-04	1.193387e+03
1.963350e-04	1.197395e+03
2.291688e-04	1.201403e+03
2.672113e-04	1.205411e+03
3.112421e-04	1.209419e+03
3.621510e-04	1.213427e+03
4.209519e-04	1.217435e+03
4.888088e-04	1.221443e+03
5.670224e-04	1.225451e+03
6.571024e-04	1.229459e+03
7.607349e-04	1.233467e+03
8.798455e-04	1.237475e+03
1.016624e-03	1.241483e+03
1.173531e-03	1.245491e+03
1.353372e-03	1.249499e+03
1.559289e-03	1.253507e+03
1.794877e-03	1.257515e+03
2.064125e-03	1.261523e+03
2.371610e-03	1.265531e+03
2.722423e-03	1.269539e+03
3.122307e-03	1.273547e+03
3.577774e-03	1.277555e+03
4.096014e-03	1.281563e+03
4.685272e-03	1.285571e+03
5.354617e-03	1.289579e+03
6.114379e-03	1.293587e+03
6.975975e-03	1.297595e+03
7.952301e-03	1.301603e+03
9.057794e-03	1.305611e+03
1.030828e-02	1.309619e+03
1.172200e-02	1.313627e+03
1.331866e-02	1.317635e+03
1.512073e-02	1.321643e+03
1.715298e-02	1.325651e+03
1.944293e-02	1.329659e+03
2.202160e-02	1.333667e+03
2.492267e-02	1.337675e+03
2.818466e-02	1.341683e+03
3.184894e-02	1.345691e+03
3.596283e-02	1.349699e+03
4.057767e-02	1.353707e+03
4.575068e-02	1.357715e+03
5.154607e-02	1.361723e+03
5.803224e-02	1.365731e+03
6.528854e-02	1.369739e+03
7.339872e-02	1.373747e+03
8.245830e-02	1.377756e+03
9.257100e-02	1.381764e+03
1.038510e-01	1.385772e+03
1.164261e-01	1.389780e+03
1.304322e-01	1.393788e+03
1.460261e-01	1.397796e+03
1.633714e-01	1.401804e+03
1.826559e-01	1.405812e+03
2.040805e-01	1.409820e+03
2.278659e-01	1.413828e+03
2.542596e-01	1.417836e+03
2.835193e-01	1.421844e+03
3.159463e-01	1.425852e+03
3.518491e-01	1.429860e+03
3.915828e-01	1.433868e+03
4.355242e-01	1.437876e+03
4.840831e-01	1.441884e+03
5.377235e-01	1.445892e+03
5.969118e-01	1.449900e+03
6.622099e-01	1.453908e+03
7.341722e-01	1.457916e+03
8.134447e-01	1.461924e+03
9.356093e-01	1.465932e+03
1.028642e+00	1.469940e+03
1.130275e+00	1.473948e+03
1.241167e+00	1.477956e+03
1.362174e+00	1.481964e+03
1.494034e+00	1.485972e+03
1.637724e+00	1.489980e+03
1.794153e+00	1.493988e+03
1.964309e+00	1.497996e+03
2.149425e+00	1.502004e+03
2.350331e+00	1.506012e+03
2.568607e+00	1.510020e+03
2.805361e+00	1.514028e+03
3.062129e+00	1.518036e+03
3.340496e+00	1.522044e+03
3.641896e+00	1.526052e+03
3.968203e+00	1.530060e+03
4.320848e+00	1.534068e+03
4.702330e+00	1.538076e+03
5.114401e+00	1.542084e+03
5.559645e+00	1.546092e+03
6.040159e+00	1.550100e+03
6.558356e+00	1.554108e+03
7.117600e+00	1.558116e+03
7.720065e+00	1.562124e+03
8.369908e+00	1.566132e+03
9.069288e+00	1.570140e+03
9.836779e+00	1.574148e+03
1.066962e+01	1.578156e+03
1.157194e+01	1.582164e+03
1.253992e+01	1.586172e+03
1.358665e+01	1.590180e+03
1.471490e+01	1.594188e+03
1.591805e+01	1.598196e+03
1.722306e+01	1.602204e+03
1.861154e+01	1.606212e+03
2.011825e+01	1.610220e+03
2.171845e+01	1.614228e+03
2.345497e+01	1.618236e+03
2.531074e+01	1.622244e+03
2.729478e+01	1.626253e+03
2.943976e+01	1.630261e+03
3.170699e+01	1.634269e+03
3.416889e+01	1.638277e+03
3.676961e+01	1.642285e+03
3.959091e+01	1.646293e+03
4.258700e+01	1.650301e+03
4.579870e+01	1.654309e+03
4.924339e+01	1.658317e+03
5.289642e+01	1.662325e+03
5.684226e+01	1.666333e+03
6.100074e+01	1.670341e+03
6.549962e+01	1.674349e+03
7.026110e+01	1.678357e+03
7.536477e+01	1.682365e+03
8.080595e+01	1.686373e+03
8.659179e+01	1.690381e+03
9.279610e+01	1.694389e+03
9.935256e+01	1.698397e+03
1.064057e+02	1.702405e+03
1.138586e+02	1.706413e+03
1.218331e+02	1.710421e+03
1.303030e+02	1.714429e+03
1.393134e+02	1.718437e+03
1.489207e+02	1.722445e+03
1.590961e+02	1.726453e+03
1.699742e+02	1.730461e+03
1.814776e+02	1.734469e+03
1.937448e+02	1.738477e+03
2.067431e+02	1.742485e+03
2.205578e+02	1.746493e+03
2.352308e+02	1.750501e+03
2.507779e+02	1.754509e+03
2.673154e+02	1.758517e+03
2.848168e+02	1.762525e+03
3.034107e+02	1.766533e+03
3.230885e+02	1.770541e+03
3.439621e+02	1.774549e+03
3.660723e+02	1.778557e+03
3.894829e+02	1.782565e+03
4.142960e+02	1.786573e+03
4.405429e+02	1.790581e+03
4.683401e+02	1.794589e+03
4.977341e+02	1.798597e+03
5.288426e+02	1.802605e+03
5.617251e+02	1.806613e+03
5.964940e+02	1.810621e+03
6.332495e+02	1.814629e+03
6.720822e+02	1.818637e+03
7.131109e+02	1.822645e+03
7.564368e+02	1.826653e+03
8.021897e+02	1.830661e+03
8.504782e+02	1.834669e+03
9.014457e+02	1.838677e+03
9.552125e+02	1.842685e+03
