#pressure (bar)	 temperature (K)
2.846416e-03	2.000000e+02
3.120581e-03	2.006012e+02
3.419298e-03	2.012024e+02
3.744596e-03	2.018036e+02
4.098656e-03	2.024048e+02
4.483824e-03	2.030060e+02
4.902618e-03	2.036072e+02
5.357744e-03	2.042084e+02
5.852107e-03	2.048096e+02
6.388821e-03	2.054108e+02
6.971230e-03	2.060120e+02
7.602913e-03	2.066132e+02
8.287709e-03	2.072144e+02
9.029727e-03	2.078156e+02
9.833365e-03	2.084168e+02
1.070333e-02	2.090180e+02
1.164466e-02	2.096192e+02
1.266272e-02	2.102204e+02
1.376328e-02	2.108216e+02
1.495247e-02	2.114228e+02
1.623685e-02	2.120240e+02
1.762342e-02	2.126253e+02
1.911964e-02	2.132265e+02
2.073346e-02	2.138277e+02
2.247338e-02	2.144289e+02
2.434843e-02	2.150301e+02
2.636823e-02	2.156313e+02
2.854303e-02	2.162325e+02
3.088373e-02	2.168337e+02
3.340193e-02	2.174349e+02
3.610997e-02	2.180361e+02
3.902095e-02	2.186373e+02
4.214879e-02	2.192385e+02
4.550829e-02	2.198397e+02
4.911514e-02	2.204409e+02
5.298601e-02	2.210421e+02
5.713859e-02	2.216433e+02
6.159160e-02	2.222445e+02
6.636493e-02	2.228457e+02
7.147963e-02	2.234469e+02
7.695802e-02	2.240481e+02
8.282371e-02	2.246493e+02
8.910170e-02	2.252505e+02
9.581846e-02	2.258517e+02
1.030020e-01	2.264529e+02
1.106818e-01	2.270541e+02
1.188893e-01	2.276553e+02
1.276575e-01	2.282565e+02
1.370213e-01	2.288577e+02
1.470177e-01	2.294589e+02
1.576854e-01	2.300601e+02
1.690656e-01	2.306613e+02
1.812017e-01	2.312625e+02
1.941393e-01	2.318637e+02
2.079266e-01	2.324649e+02
2.226145e-01	2.330661e+02
2.382564e-01	2.336673e+02
2.549087e-01	2.342685e+02
2.726307e-01	2.348697e+02
2.914848e-01	2.354709e+02
3.115369e-01	2.360721e+02
3.328560e-01	2.366733e+02
3.555148e-01	2.372745e+02
3.795897e-01	2.378758e+02
4.051612e-01	2.384770e+02
4.323136e-01	2.390782e+02
4.611355e-01	2.396794e+02
4.917202e-01	2.402806e+02
5.241652e-01	2.408818e+02
5.585732e-01	2.414830e+02
5.950517e-01	2.420842e+02
6.337138e-01	2.426854e+02
6.746775e-01	2.432866e+02
7.180672e-01	2.438878e+02
7.640126e-01	2.444890e+02
8.126502e-01	2.450902e+02
8.641225e-01	2.456914e+02
9.185789e-01	2.462926e+02
9.761759e-01	2.468938e+02
1.037077e+00	2.474950e+02
1.101453e+00	2.480962e+02
1.169484e+00	2.486974e+02
1.241357e+00	2.492986e+02
1.317267e+00	2.498998e+02
1.397420e+00	2.505010e+02
1.482029e+00	2.511022e+02
1.571318e+00	2.517034e+02
1.665520e+00	2.523046e+02
1.764878e+00	2.529058e+02
1.869648e+00	2.535070e+02
1.980094e+00	2.541082e+02
2.096493e+00	2.547094e+02
2.219135e+00	2.553106e+02
2.348320e+00	2.559118e+02
2.484362e+00	2.565130e+02
2.627589e+00	2.571142e+02
2.778341e+00	2.577154e+02
2.936975e+00	2.583166e+02
3.103861e+00	2.589178e+02
3.279384e+00	2.595190e+02
3.463946e+00	2.601202e+02
3.657965e+00	2.607214e+02
3.861875e+00	2.613226e+02
4.076129e+00	2.619238e+02
4.301198e+00	2.625251e+02
4.537571e+00	2.631263e+02
4.785756e+00	2.637275e+02
5.046284e+00	2.643287e+02
5.319703e+00	2.649299e+02
5.606584e+00	2.655311e+02
5.907517e+00	2.661323e+02
6.223121e+00	2.667335e+02
6.554037e+00	2.673347e+02
6.900929e+00	2.679359e+02
7.264487e+00	2.685371e+02
7.645427e+00	2.691383e+02
8.044491e+00	2.697395e+02
8.462449e+00	2.703407e+02
8.900100e+00	2.709419e+02
9.358273e+00	2.715431e+02
9.837827e+00	2.721443e+02
1.033965e+01	2.727455e+02
1.082701e+01	2.733467e+02
1.130946e+01	2.739479e+02
1.181084e+01	2.745491e+02
1.233179e+01	2.751503e+02
1.287294e+01	2.757515e+02
1.343498e+01	2.763527e+02
1.401861e+01	2.769539e+02
1.462452e+01	2.775551e+02
1.525345e+01	2.781563e+02
1.590613e+01	2.787575e+02
1.658334e+01	2.793587e+02
1.728586e+01	2.799599e+02
1.801450e+01	2.805611e+02
1.877007e+01	2.811623e+02
1.955343e+01	2.817635e+02
2.036544e+01	2.823647e+02
2.120700e+01	2.829659e+02
2.207900e+01	2.835671e+02
2.298240e+01	2.841683e+02
2.391809e+01	2.847695e+02
2.488709e+01	2.853707e+02
2.589042e+01	2.859719e+02
2.692911e+01	2.865731e+02
2.800421e+01	2.871743e+02
2.911680e+01	2.877756e+02
3.026798e+01	2.883768e+02
3.145889e+01	2.889780e+02
3.269068e+01	2.895792e+02
3.396453e+01	2.901804e+02
3.528165e+01	2.907816e+02
3.664328e+01	2.913828e+02
3.805068e+01	2.919840e+02
3.950516e+01	2.925852e+02
4.100803e+01	2.931864e+02
4.256059e+01	2.937876e+02
4.416412e+01	2.943888e+02
4.582017e+01	2.949900e+02
4.753019e+01	2.955912e+02
4.929565e+01	2.961924e+02
5.111805e+01	2.967936e+02
5.299894e+01	2.973948e+02
5.493988e+01	2.979960e+02
5.694247e+01	2.985972e+02
5.900836e+01	2.991984e+02
6.113919e+01	2.997996e+02
6.333668e+01	3.004008e+02
6.560257e+01	3.010020e+02
6.793863e+01	3.016032e+02
7.034668e+01	3.022044e+02
7.282857e+01	3.028056e+02
7.538581e+01	3.034068e+02
7.802048e+01	3.040080e+02
8.073470e+01	3.046092e+02
8.353046e+01	3.052104e+02
8.640980e+01	3.058116e+02
8.937479e+01	3.064128e+02
9.242753e+01	3.070140e+02
9.557018e+01	3.076152e+02
9.880487e+01	3.082164e+02
1.021339e+02	3.088176e+02
1.055595e+02	3.094188e+02
1.090840e+02	3.100200e+02
1.127098e+02	3.106212e+02
1.164392e+02	3.112224e+02
1.202748e+02	3.118236e+02
1.242188e+02	3.124248e+02
1.282730e+02	3.130261e+02
1.324407e+02	3.136273e+02
1.367248e+02	3.142285e+02
1.411277e+02	3.148297e+02
1.456522e+02	3.154309e+02
1.503012e+02	3.160321e+02
1.550770e+02	3.166333e+02
1.599828e+02	3.172345e+02
1.650214e+02	3.178357e+02
1.701959e+02	3.184369e+02
1.755092e+02	3.190381e+02
1.809644e+02	3.196393e+02
1.865646e+02	3.202405e+02
1.923129e+02	3.208417e+02
1.982125e+02	3.214429e+02
2.042657e+02	3.220441e+02
2.104759e+02	3.226453e+02
2.168472e+02	3.232465e+02
2.233829e+02	3.238477e+02
2.300866e+02	3.244489e+02
2.369607e+02	3.250501e+02
2.440091e+02	3.256513e+02
2.512360e+02	3.262525e+02
2.586451e+02	3.268537e+02
2.662400e+02	3.274549e+02
2.740246e+02	3.280561e+02
2.820026e+02	3.286573e+02
2.901780e+02	3.292585e+02
2.985547e+02	3.298597e+02
3.071367e+02	3.304609e+02
3.159280e+02	3.310621e+02
3.249318e+02	3.316633e+02
3.341530e+02	3.322645e+02
3.435960e+02	3.328657e+02
3.532621e+02	3.334669e+02
3.631541e+02	3.340681e+02
3.732804e+02	3.346693e+02
3.836456e+02	3.352705e+02
3.942542e+02	3.358717e+02
4.051108e+02	3.364729e+02
4.162199e+02	3.370741e+02
4.275864e+02	3.376754e+02
4.392148e+02	3.382766e+02
4.511102e+02	3.388778e+02
4.632773e+02	3.394790e+02
4.757210e+02	3.400802e+02
4.884485e+02	3.406814e+02
5.014664e+02	3.412826e+02
5.147726e+02	3.418838e+02
5.283544e+02	3.424850e+02
5.422368e+02	3.430862e+02
5.564259e+02	3.436874e+02
5.709269e+02	3.442886e+02
5.857454e+02	3.448898e+02
6.008868e+02	3.454910e+02
6.163566e+02	3.460922e+02
6.321606e+02	3.466934e+02
6.483044e+02	3.472946e+02
6.647937e+02	3.478958e+02
6.816345e+02	3.484970e+02
6.988325e+02	3.490982e+02
7.163938e+02	3.496994e+02
7.343467e+02	3.503006e+02
7.526593e+02	3.509018e+02
7.713463e+02	3.515030e+02
7.904211e+02	3.521042e+02
8.098900e+02	3.527054e+02
8.297593e+02	3.533066e+02
8.500355e+02	3.539078e+02
8.707251e+02	3.545090e+02
8.918348e+02	3.551102e+02
9.133710e+02	3.557114e+02
9.353407e+02	3.563126e+02
9.577505e+02	3.569138e+02
9.806075e+02	3.575150e+02
