#pressure (bar)	 temperature (K)
1.061264e-06	5.547094e+02
1.264216e-06	5.567134e+02
1.508628e-06	5.587174e+02
1.795598e-06	5.607214e+02
2.130845e-06	5.627255e+02
2.520772e-06	5.647295e+02
2.991458e-06	5.667335e+02
3.547801e-06	5.687375e+02
4.196654e-06	5.707415e+02
4.950577e-06	5.727455e+02
5.826399e-06	5.747495e+02
6.890874e-06	5.767535e+02
8.126745e-06	5.787575e+02
9.558294e-06	5.807615e+02
1.120802e-05	5.827655e+02
1.314810e-05	5.847695e+02
1.545915e-05	5.867735e+02
1.812921e-05	5.887776e+02
2.120418e-05	5.907816e+02
2.473245e-05	5.927856e+02
2.894530e-05	5.947896e+02
3.385467e-05	5.967936e+02
3.949108e-05	5.987976e+02
4.593691e-05	6.008016e+02
5.330948e-05	6.028056e+02
6.217454e-05	6.048096e+02
7.232245e-05	6.068136e+02
8.392657e-05	6.088176e+02
9.710315e-05	6.108216e+02
1.124475e-04	6.128257e+02
1.304829e-04	6.148297e+02
1.510269e-04	6.168337e+02
1.743703e-04	6.188377e+02
2.007521e-04	6.208417e+02
2.318760e-04	6.228457e+02
2.677730e-04	6.248497e+02
3.084394e-04	6.268537e+02
3.544608e-04	6.288577e+02
4.062775e-04	6.308617e+02
4.679619e-04	6.328657e+02
5.380049e-04	6.348697e+02
6.169509e-04	6.368737e+02
7.056362e-04	6.388778e+02
8.075760e-04	6.408818e+02
9.265551e-04	6.428858e+02
1.060491e-03	6.448898e+02
1.210778e-03	6.468938e+02
1.378771e-03	6.488978e+02
1.574664e-03	6.509018e+02
1.798372e-03	6.529058e+02
2.049715e-03	6.549098e+02
2.331099e-03	6.569138e+02
2.645331e-03	6.589178e+02
3.017142e-03	6.609218e+02
3.433250e-03	6.629259e+02
3.897579e-03	6.649299e+02
4.414269e-03	6.669339e+02
5.001029e-03	6.689379e+02
5.680840e-03	6.709419e+02
6.440626e-03	6.729459e+02
7.285490e-03	6.749499e+02
8.221694e-03	6.769539e+02
9.301172e-03	6.789579e+02
1.052705e-02	6.809619e+02
1.189145e-02	6.829659e+02
1.340449e-02	6.849699e+02
1.507803e-02	6.869739e+02
1.704714e-02	6.889780e+02
1.923272e-02	6.909820e+02
2.164608e-02	6.929860e+02
2.430857e-02	6.949900e+02
2.731124e-02	6.969940e+02
3.076904e-02	6.989980e+02
3.459366e-02	7.010020e+02
3.881471e-02	7.030060e+02
4.346624e-02	7.050100e+02
4.879821e-02	7.070140e+02
5.479536e-02	7.090180e+02
6.140868e-02	7.110220e+02
6.868774e-02	7.130261e+02
7.668793e-02	7.150301e+02
8.603345e-02	7.170341e+02
9.633702e-02	7.190381e+02
1.076520e-01	7.210421e+02
1.200448e-01	7.230461e+02
1.339029e-01	7.250501e+02
1.497319e-01	7.270541e+02
1.671241e-01	7.290581e+02
1.862078e-01	7.310621e+02
2.071442e-01	7.330661e+02
2.309365e-01	7.350701e+02
2.574811e-01	7.370741e+02
2.865795e-01	7.390782e+02
3.184510e-01	7.410822e+02
3.533517e-01	7.430862e+02
3.935401e-01	7.450902e+02
4.376090e-01	7.470942e+02
4.857551e-01	7.490982e+02
5.383349e-01	7.511022e+02
5.967393e-01	7.531062e+02
