#pressure (bar)	 temperature (K)
1.162126e-06	1.234870e+03
1.418440e-06	1.239679e+03
1.731845e-06	1.244489e+03
2.107383e-06	1.249299e+03
2.564590e-06	1.254108e+03
3.111423e-06	1.258918e+03
3.774376e-06	1.263727e+03
4.565851e-06	1.268537e+03
5.521453e-06	1.273347e+03
6.660307e-06	1.278156e+03
8.029775e-06	1.282966e+03
9.659110e-06	1.287776e+03
1.161061e-05	1.292585e+03
1.392863e-05	1.297395e+03
1.669424e-05	1.302204e+03
1.997400e-05	1.307014e+03
2.387219e-05	1.311824e+03
2.848791e-05	1.316633e+03
3.395362e-05	1.321443e+03
4.041558e-05	1.326253e+03
4.803967e-05	1.331062e+03
5.704026e-05	1.335872e+03
6.762147e-05	1.340681e+03
8.009548e-05	1.345491e+03
9.470858e-05	1.350301e+03
1.119120e-04	1.355110e+03
1.319960e-04	1.359920e+03
1.556085e-04	1.364729e+03
1.830817e-04	1.369539e+03
2.153399e-04	1.374349e+03
2.527476e-04	1.379158e+03
2.966157e-04	1.383968e+03
3.473202e-04	1.388778e+03
4.067097e-04	1.393587e+03
4.751345e-04	1.398397e+03
5.551843e-04	1.403206e+03
6.471233e-04	1.408016e+03
7.545584e-04	1.412826e+03
8.776995e-04	1.417635e+03
1.021153e-03	1.422445e+03
1.185408e-03	1.427255e+03
1.376164e-03	1.432064e+03
1.594365e-03	1.436874e+03
1.847001e-03	1.441683e+03
2.135712e-03	1.446493e+03
2.468985e-03	1.451303e+03
2.849498e-03	1.456112e+03
3.287451e-03	1.460922e+03
3.787040e-03	1.465731e+03
4.360379e-03	1.470541e+03
5.013850e-03	1.475351e+03
5.761653e-03	1.480160e+03
6.613263e-03	1.484970e+03
7.585088e-03	1.489780e+03
8.690924e-03	1.494589e+03
9.949395e-03	1.499399e+03
1.138029e-02	1.504208e+03
1.300428e-02	1.509018e+03
1.484939e-02	1.513828e+03
1.693794e-02	1.518637e+03
1.930912e-02	1.523447e+03
2.198615e-02	1.528257e+03
2.502329e-02	1.533066e+03
2.844338e-02	1.537876e+03
3.232089e-02	1.542685e+03
3.667625e-02	1.547495e+03
4.161089e-02	1.552305e+03
4.713990e-02	1.557114e+03
5.340026e-02	1.561924e+03
6.039753e-02	1.566733e+03
6.831545e-02	1.571543e+03
7.714413e-02	1.576353e+03
8.712847e-02	1.581162e+03
9.823572e-02	1.585972e+03
1.107879e-01	1.590782e+03
1.247336e-01	1.595591e+03
