#pressure (bar)	 temperature (K)
1.080647e-06	1.456914e+03
1.266819e-06	1.460922e+03
1.482239e-06	1.464930e+03
1.735817e-06	1.468938e+03
2.027136e-06	1.472946e+03
2.369824e-06	1.476954e+03
2.764939e-06	1.480962e+03
3.224035e-06	1.484970e+03
3.757851e-06	1.488978e+03
4.371493e-06	1.492986e+03
5.090182e-06	1.496994e+03
5.911822e-06	1.501002e+03
6.873221e-06	1.505010e+03
7.974485e-06	1.509018e+03
9.249263e-06	1.513026e+03
1.072287e-05	1.517034e+03
1.240646e-05	1.521042e+03
1.437031e-05	1.525050e+03
1.660192e-05	1.529058e+03
1.919755e-05	1.533066e+03
2.216120e-05	1.537074e+03
2.557117e-05	1.541082e+03
2.949457e-05	1.545090e+03
3.395707e-05	1.549098e+03
3.913729e-05	1.553106e+03
4.499419e-05	1.557114e+03
5.177235e-05	1.561122e+03
5.947945e-05	1.565130e+03
6.829230e-05	1.569138e+03
7.839072e-05	1.573146e+03
8.982525e-05	1.577154e+03
1.030304e-04	1.581162e+03
1.179117e-04	1.585170e+03
1.350504e-04	1.589178e+03
1.544421e-04	1.593186e+03
1.765363e-04	1.597194e+03
2.017295e-04	1.601202e+03
2.301221e-04	1.605210e+03
2.628044e-04	1.609218e+03
2.994312e-04	1.613226e+03
3.413939e-04	1.617234e+03
3.887619e-04	1.621242e+03
4.424361e-04	1.625251e+03
5.034297e-04	1.629259e+03
5.718928e-04	1.633267e+03
6.503487e-04	1.637275e+03
7.379881e-04	1.641283e+03
8.380695e-04	1.645291e+03
9.503137e-04	1.649299e+03
1.077090e-03	1.653307e+03
1.220824e-03	1.657315e+03
1.381194e-03	1.661323e+03
1.564311e-03	1.665331e+03
1.768213e-03	1.669339e+03
1.999616e-03	1.673347e+03
2.259012e-03	1.677355e+03
2.550912e-03	1.681363e+03
2.879844e-03	1.685371e+03
3.246167e-03	1.689379e+03
3.662814e-03	1.693387e+03
4.124535e-03	1.697395e+03
4.647751e-03	1.701403e+03
5.231347e-03	1.705411e+03
5.884839e-03	1.709419e+03
6.620061e-03	1.713427e+03
7.435032e-03	1.717435e+03
8.358456e-03	1.721443e+03
9.380066e-03	1.725451e+03
1.053159e-02	1.729459e+03
1.181255e-02	1.733467e+03
1.324403e-02	1.737475e+03
1.484664e-02	1.741483e+03
1.661888e-02	1.745491e+03
1.862189e-02	1.749499e+03
2.082739e-02	1.753507e+03
2.330678e-02	1.757515e+03
2.605624e-02	1.761523e+03
2.911277e-02	1.765531e+03
3.253033e-02	1.769539e+03
3.629555e-02	1.773547e+03
4.053337e-02	1.777555e+03
4.519567e-02	1.781563e+03
5.041431e-02	1.785571e+03
5.618560e-02	1.789579e+03
6.259122e-02	1.793587e+03
6.972238e-02	1.797595e+03
