#pressure (bar)	 temperature (K)
1.024427e-06	1.181363e+03
1.212800e-06	1.185371e+03
1.434215e-06	1.189379e+03
1.693757e-06	1.193387e+03
1.998659e-06	1.197395e+03
2.354950e-06	1.201403e+03
2.772642e-06	1.205411e+03
3.260086e-06	1.209419e+03
3.829299e-06	1.213427e+03
4.493273e-06	1.217435e+03
5.265675e-06	1.221443e+03
6.166263e-06	1.225451e+03
7.210884e-06	1.229459e+03
8.426421e-06	1.233467e+03
9.834703e-06	1.237475e+03
1.146731e-05	1.241483e+03
1.335817e-05	1.245491e+03
1.554224e-05	1.249499e+03
1.807093e-05	1.253507e+03
2.098389e-05	1.257515e+03
2.434986e-05	1.261523e+03
2.822336e-05	1.265531e+03
3.268342e-05	1.269539e+03
3.781471e-05	1.273547e+03
4.370246e-05	1.277555e+03
5.047474e-05	1.281563e+03
5.822589e-05	1.285571e+03
6.712429e-05	1.289579e+03
7.730006e-05	1.293587e+03
8.894231e-05	1.297595e+03
1.022538e-04	1.301603e+03
1.174330e-04	1.305611e+03
1.347859e-04	1.309619e+03
1.545276e-04	1.313627e+03
1.770533e-04	1.317635e+03
2.026609e-04	1.321643e+03
2.317851e-04	1.325651e+03
2.648917e-04	1.329659e+03
3.024245e-04	1.333667e+03
3.450863e-04	1.337675e+03
3.933476e-04	1.341683e+03
4.481005e-04	1.345691e+03
5.100018e-04	1.349699e+03
5.800118e-04	1.353707e+03
6.591617e-04	1.357715e+03
7.484063e-04	1.361723e+03
8.493017e-04	1.365731e+03
9.628358e-04	1.369739e+03
1.090954e-03	1.373747e+03
1.235049e-03	1.377756e+03
1.397169e-03	1.381764e+03
1.579518e-03	1.385772e+03
1.784075e-03	1.389780e+03
2.014171e-03	1.393788e+03
2.271808e-03	1.397796e+03
2.561077e-03	1.401804e+03
2.884843e-03	1.405812e+03
3.247320e-03	1.409820e+03
3.653074e-03	1.413828e+03
4.106062e-03	1.417836e+03
4.613197e-03	1.421844e+03
5.178385e-03	1.425852e+03
5.809972e-03	1.429860e+03
6.513660e-03	1.433868e+03
7.297853e-03	1.437876e+03
8.171730e-03	1.441884e+03
9.142928e-03	1.445892e+03
1.022539e-02	1.449900e+03
1.142649e-02	1.453908e+03
1.276273e-02	1.457916e+03
1.424514e-02	1.461924e+03
1.588998e-02	1.465932e+03
1.771517e-02	1.469940e+03
1.973507e-02	1.473948e+03
2.197695e-02	1.477956e+03
2.445429e-02	1.481964e+03
2.719890e-02	1.485972e+03
3.023148e-02	1.489980e+03
3.358263e-02	1.493988e+03
3.728645e-02	1.497996e+03
4.136904e-02	1.502004e+03
4.588253e-02	1.506012e+03
5.085075e-02	1.510020e+03
5.633334e-02	1.514028e+03
6.236828e-02	1.518036e+03
6.901160e-02	1.522044e+03
7.632658e-02	1.526052e+03
8.435942e-02	1.530060e+03
9.320720e-02	1.534068e+03
1.029109e-01	1.538076e+03
1.135797e-01	1.542084e+03
1.252813e-01	1.546092e+03
1.381160e-01	1.550100e+03
1.521984e-01	1.554108e+03
1.676081e-01	1.558116e+03
1.845217e-01	1.562124e+03
2.030076e-01	1.566132e+03
2.232605e-01	1.570140e+03
2.453993e-01	1.574148e+03
2.695981e-01	1.578156e+03
2.960604e-01	1.582164e+03
3.249192e-01	1.586172e+03
3.564880e-01	1.590180e+03
3.908785e-01	1.594188e+03
4.284286e-01	1.598196e+03
4.693418e-01	1.602204e+03
5.139143e-01	1.606212e+03
5.624953e-01	1.610220e+03
6.153051e-01	1.614228e+03
6.728804e-01	1.618236e+03
7.353976e-01	1.622244e+03
8.034321e-01	1.626253e+03
8.773176e-01	1.630261e+03
9.575419e-01	1.634269e+03
1.044693e+00	1.638277e+03
1.139103e+00	1.642285e+03
1.241671e+00	1.646293e+03
1.352672e+00	1.650301e+03
1.473021e+00	1.654309e+03
1.603287e+00	1.658317e+03
1.744219e+00	1.662325e+03
1.896671e+00	1.666333e+03
2.061248e+00	1.670341e+03
2.239304e+00	1.674349e+03
2.431313e+00	1.678357e+03
2.638646e+00	1.682365e+03
2.861871e+00	1.686373e+03
3.102396e+00	1.690381e+03
3.361477e+00	1.694389e+03
3.640016e+00	1.698397e+03
3.939593e+00	1.702405e+03
4.260826e+00	1.706413e+03
4.605890e+00	1.710421e+03
4.976028e+00	1.714429e+03
5.371780e+00	1.718437e+03
5.795528e+00	1.722445e+03
6.248675e+00	1.726453e+03
6.733463e+00	1.730461e+03
7.249252e+00	1.734469e+03
7.799575e+00	1.738477e+03
8.387152e+00	1.742485e+03
9.010854e+00	1.746493e+03
9.670747e+00	1.750501e+03
1.036995e+01	1.754509e+03
1.111275e+01	1.758517e+03
1.190377e+01	1.762525e+03
1.274430e+01	1.766533e+03
1.364108e+01	1.770541e+03
1.459192e+01	1.774549e+03
1.560720e+01	1.778557e+03
1.668178e+01	1.782565e+03
1.782945e+01	1.786573e+03
1.904860e+01	1.790581e+03
2.033818e+01	1.794589e+03
2.171393e+01	1.798597e+03
2.316698e+01	1.802605e+03
2.471743e+01	1.806613e+03
2.635341e+01	1.810621e+03
2.809826e+01	1.814629e+03
2.994430e+01	1.818637e+03
3.189965e+01	1.822645e+03
3.397769e+01	1.826653e+03
3.616933e+01	1.830661e+03
3.850171e+01	1.834669e+03
4.096049e+01	1.838677e+03
4.357500e+01	1.842685e+03
4.633575e+01	1.846693e+03
4.925848e+01	1.850701e+03
5.235257e+01	1.854709e+03
5.561927e+01	1.858717e+03
5.908044e+01	1.862725e+03
6.273173e+01	1.866733e+03
6.659787e+01	1.870741e+03
7.067905e+01	1.874749e+03
7.499103e+01	1.878758e+03
7.954509e+01	1.882766e+03
8.435339e+01	1.886774e+03
8.942696e+01	1.890782e+03
9.478753e+01	1.894790e+03
1.004355e+02	1.898798e+03
1.064035e+02	1.902806e+03
1.126892e+02	1.906814e+03
1.193219e+02	1.910822e+03
1.263159e+02	1.914830e+03
1.336766e+02	1.918838e+03
1.414556e+02	1.922846e+03
1.496146e+02	1.926854e+03
1.582531e+02	1.930862e+03
1.673149e+02	1.934870e+03
1.768800e+02	1.938878e+03
1.869425e+02	1.942886e+03
1.975189e+02	1.946894e+03
2.086860e+02	1.950902e+03
2.203697e+02	1.954910e+03
2.327350e+02	1.958918e+03
2.456650e+02	1.962926e+03
2.593311e+02	1.966934e+03
2.736623e+02	1.970942e+03
2.887224e+02	1.974950e+03
3.045928e+02	1.978958e+03
3.211790e+02	1.982966e+03
3.387046e+02	1.986974e+03
3.569953e+02	1.990982e+03
3.763343e+02	1.994990e+03
3.965530e+02	1.998998e+03
4.178162e+02	2.003006e+03
4.401617e+02	2.007014e+03
4.635138e+02	2.011022e+03
4.881276e+02	2.015030e+03
5.138224e+02	2.019038e+03
5.409160e+02	2.023046e+03
5.691913e+02	2.027054e+03
5.989748e+02	2.031062e+03
6.301655e+02	2.035070e+03
6.627902e+02	2.039078e+03
6.970665e+02	2.043086e+03
7.328902e+02	2.047094e+03
7.705333e+02	2.051102e+03
8.098477e+02	2.055110e+03
8.511624e+02	2.059118e+03
8.943490e+02	2.063126e+03
9.396011e+02	2.067134e+03
9.869569e+02	2.071142e+03
