#pressure (bar)	 temperature (K)
1.003696e-06	1.053106e+03
1.221269e-06	1.057114e+03
1.482250e-06	1.061122e+03
1.798571e-06	1.065130e+03
2.177496e-06	1.069138e+03
2.633408e-06	1.073146e+03
3.180452e-06	1.077154e+03
3.833923e-06	1.081162e+03
4.619159e-06	1.085170e+03
5.552196e-06	1.089178e+03
6.671701e-06	1.093186e+03
8.000485e-06	1.097194e+03
9.583965e-06	1.101202e+03
1.146639e-05	1.105210e+03
1.369421e-05	1.109218e+03
1.634667e-05	1.113226e+03
1.947049e-05	1.117234e+03
2.318371e-05	1.121242e+03
2.755348e-05	1.125251e+03
3.271416e-05	1.129259e+03
3.879612e-05	1.133267e+03
4.593281e-05	1.137275e+03
5.435701e-05	1.141283e+03
6.419583e-05	1.145291e+03
7.579131e-05	1.149299e+03
8.932680e-05	1.153307e+03
1.051790e-04	1.157315e+03
1.237132e-04	1.161323e+03
1.452871e-04	1.165331e+03
1.705505e-04	1.169339e+03
1.998306e-04	1.173347e+03
2.340623e-04	1.177355e+03
2.737220e-04	1.181363e+03
3.198106e-04	1.185371e+03
3.732963e-04	1.189379e+03
4.350898e-04	1.193387e+03
5.069155e-04	1.197395e+03
5.895706e-04	1.201403e+03
6.854808e-04	1.205411e+03
7.958255e-04	1.209419e+03
9.231375e-04	1.213427e+03
1.069859e-03	1.217435e+03
1.238189e-03	1.221443e+03
1.432507e-03	1.225451e+03
1.654628e-03	1.229459e+03
1.910577e-03	1.233467e+03
2.203146e-03	1.237475e+03
2.538437e-03	1.241483e+03
2.922352e-03	1.245491e+03
3.359953e-03	1.249499e+03
3.861889e-03	1.253507e+03
4.432061e-03	1.257515e+03
5.084826e-03	1.261523e+03
5.826481e-03	1.265531e+03
6.671083e-03	1.269539e+03
7.632380e-03	1.273547e+03
8.721479e-03	1.277555e+03
9.963212e-03	1.281563e+03
1.136563e-02	1.285571e+03
1.296149e-02	1.289579e+03
1.476443e-02	1.293587e+03
1.680570e-02	1.297595e+03
1.911596e-02	1.301603e+03
2.171855e-02	1.305611e+03
2.466941e-02	1.309619e+03
2.798407e-02	1.313627e+03
3.173467e-02	1.317635e+03
3.594965e-02	1.321643e+03
4.069562e-02	1.325651e+03
4.603901e-02	1.329659e+03
5.202693e-02	1.333667e+03
5.878049e-02	1.337675e+03
6.632828e-02	1.341683e+03
7.482363e-02	1.345691e+03
8.432351e-02	1.349699e+03
9.496563e-02	1.353707e+03
1.068883e-01	1.357715e+03
1.201823e-01	1.361723e+03
1.351027e-01	1.365731e+03
1.516982e-01	1.369739e+03
1.702833e-01	1.373747e+03
1.909694e-01	1.377756e+03
2.140296e-01	1.381764e+03
2.397430e-01	1.385772e+03
2.682786e-01	1.389780e+03
3.001528e-01	1.393788e+03
3.354432e-01	1.397796e+03
3.747712e-01	1.401804e+03
4.183462e-01	1.405812e+03
4.666901e-01	1.409820e+03
5.203432e-01	1.413828e+03
5.796091e-01	1.417836e+03
6.454875e-01	1.421844e+03
7.180902e-01	1.425852e+03
7.985974e-01	1.429860e+03
8.873764e-01	1.433868e+03
9.853785e-01	1.437876e+03
1.093609e+00	1.441884e+03
1.212562e+00	1.445892e+03
1.344100e+00	1.449900e+03
1.488364e+00	1.453908e+03
1.647431e+00	1.457916e+03
1.821999e+00	1.461924e+03
2.013677e+00	1.465932e+03
2.224222e+00	1.469940e+03
2.454537e+00	1.473948e+03
2.707791e+00	1.477956e+03
2.984227e+00	1.481964e+03
3.287511e+00	1.485972e+03
3.618712e+00	1.489980e+03
3.980644e+00	1.493988e+03
4.376458e+00	1.497996e+03
4.807437e+00	1.502004e+03
5.279634e+00	1.506012e+03
5.793156e+00	1.510020e+03
6.354500e+00	1.514028e+03
6.965868e+00	1.518036e+03
7.632031e+00	1.522044e+03
8.358894e+00	1.526052e+03
9.148540e+00	1.530060e+03
1.005920e+01	1.534068e+03
1.107404e+01	1.538076e+03
1.218785e+01	1.542084e+03
1.340798e+01	1.546092e+03
1.473437e+01	1.550100e+03
1.619271e+01	1.554108e+03
1.776949e+01	1.558116e+03
1.950857e+01	1.562124e+03
2.139503e+01	1.566132e+03
2.344913e+01	1.570140e+03
2.569834e+01	1.574148e+03
2.812323e+01	1.578156e+03
3.079155e+01	1.582164e+03
3.365726e+01	1.586172e+03
3.681648e+01	1.590180e+03
4.021939e+01	1.594188e+03
4.393104e+01	1.598196e+03
4.796512e+01	1.602204e+03
5.231798e+01	1.606212e+03
5.708392e+01	1.610220e+03
6.218841e+01	1.614228e+03
6.779534e+01	1.618236e+03
7.381501e+01	1.622244e+03
8.037099e+01	1.626253e+03
8.745688e+01	1.630261e+03
9.511224e+01	1.634269e+03
1.034321e+02	1.638277e+03
1.123656e+02	1.642285e+03
1.221104e+02	1.646293e+03
1.325658e+02	1.650301e+03
1.439104e+02	1.654309e+03
1.561385e+02	1.658317e+03
1.693316e+02	1.662325e+03
1.836009e+02	1.666333e+03
1.989335e+02	1.670341e+03
2.155491e+02	1.674349e+03
2.333979e+02	1.678357e+03
2.526639e+02	1.682365e+03
2.734145e+02	1.686373e+03
2.957327e+02	1.690381e+03
3.198096e+02	1.694389e+03
3.456450e+02	1.698397e+03
3.735278e+02	1.702405e+03
4.034549e+02	1.706413e+03
4.356431e+02	1.710421e+03
4.702637e+02	1.714429e+03
