#pressure (bar)	 temperature (K)
1.043638e-06	1.224449e+03
1.239461e-06	1.228457e+03
1.471333e-06	1.232465e+03
1.744460e-06	1.236473e+03
2.064372e-06	1.240481e+03
2.443499e-06	1.244489e+03
2.883854e-06	1.248497e+03
3.406707e-06	1.252505e+03
4.014259e-06	1.256513e+03
4.727941e-06	1.260521e+03
5.562394e-06	1.264529e+03
6.532313e-06	1.268537e+03
7.673342e-06	1.272545e+03
8.989182e-06	1.276553e+03
1.053946e-05	1.280561e+03
1.232857e-05	1.284569e+03
1.441463e-05	1.288577e+03
1.683700e-05	1.292585e+03
1.963264e-05	1.296593e+03
2.289891e-05	1.300601e+03
2.664057e-05	1.304609e+03
3.101702e-05	1.308617e+03
3.603559e-05	1.312625e+03
4.184648e-05	1.316633e+03
4.855116e-05	1.320641e+03
5.623764e-05	1.324649e+03
6.516044e-05	1.328657e+03
7.531887e-05	1.332665e+03
8.712016e-05	1.336673e+03
1.005726e-04	1.340681e+03
1.160476e-04	1.344689e+03
1.337966e-04	1.348697e+03
1.540176e-04	1.352705e+03
1.773504e-04	1.356713e+03
2.037611e-04	1.360721e+03
2.342471e-04	1.364729e+03
2.688060e-04	1.368737e+03
3.083193e-04	1.372745e+03
3.533843e-04	1.376754e+03
4.044274e-04	1.380762e+03
4.629950e-04	1.384770e+03
5.289256e-04	1.388778e+03
6.045773e-04	1.392786e+03
6.898917e-04	1.396794e+03
7.868732e-04	1.400802e+03
8.969067e-04	1.404810e+03
1.020852e-03	1.408818e+03
1.162313e-03	1.412826e+03
1.320757e-03	1.416834e+03
1.501533e-03	1.420842e+03
1.704403e-03	1.424850e+03
1.933783e-03	1.428858e+03
2.192746e-03	1.432866e+03
2.482945e-03	1.436874e+03
2.812517e-03	1.440882e+03
3.179883e-03	1.444890e+03
3.596811e-03	1.448898e+03
4.062558e-03	1.452906e+03
4.586488e-03	1.456914e+03
5.175255e-03	1.460922e+03
5.831841e-03	1.464930e+03
6.574028e-03	1.468938e+03
7.397608e-03	1.472946e+03
8.327630e-03	1.476954e+03
9.362077e-03	1.480962e+03
