#pressure (bar)	 temperature (K)
1.010274e-06	9.795591e+02
1.118559e-06	9.813627e+02
1.237671e-06	9.831663e+02
1.368607e-06	9.849699e+02
1.512625e-06	9.867735e+02
1.672810e-06	9.885772e+02
1.848815e-06	9.903808e+02
2.042078e-06	9.921844e+02
2.254168e-06	9.939880e+02
2.486778e-06	9.957916e+02
2.744911e-06	9.975952e+02
3.028442e-06	9.993988e+02
3.339264e-06	1.001202e+03
3.679801e-06	1.003006e+03
4.052671e-06	1.004810e+03
4.464628e-06	1.006613e+03
4.917446e-06	1.008417e+03
5.413044e-06	1.010220e+03
5.955146e-06	1.012024e+03
6.547773e-06	1.013828e+03
7.199736e-06	1.015631e+03
7.916878e-06	1.017435e+03
8.700513e-06	1.019238e+03
9.556322e-06	1.021042e+03
1.049044e-05	1.022846e+03
1.151377e-05	1.024649e+03
1.264021e-05	1.026453e+03
1.386921e-05	1.028257e+03
1.520935e-05	1.030060e+03
1.666991e-05	1.031864e+03
1.826341e-05	1.033667e+03
2.001871e-05	1.035471e+03
2.193096e-05	1.037275e+03
2.401305e-05	1.039078e+03
2.627886e-05	1.040882e+03
2.874329e-05	1.042685e+03
3.145524e-05	1.044489e+03
3.440770e-05	1.046293e+03
3.761773e-05	1.048096e+03
4.110598e-05	1.049900e+03
4.489460e-05	1.051703e+03
4.904696e-05	1.053507e+03
5.357139e-05	1.055311e+03
5.848354e-05	1.057114e+03
6.381402e-05	1.058918e+03
6.959543e-05	1.060721e+03
7.590699e-05	1.062525e+03
8.278981e-05	1.064329e+03
9.025218e-05	1.066132e+03
9.833892e-05	1.067936e+03
1.070982e-04	1.069739e+03
1.166241e-04	1.071543e+03
1.270207e-04	1.073347e+03
1.382775e-04	1.075150e+03
1.504600e-04	1.076954e+03
1.636381e-04	1.078758e+03
1.779158e-04	1.080561e+03
1.935118e-04	1.082365e+03
2.103764e-04	1.084168e+03
2.286040e-04	1.085972e+03
2.482958e-04	1.087776e+03
2.695601e-04	1.089579e+03
2.927910e-04	1.091383e+03
3.178881e-04	1.093186e+03
3.449797e-04	1.094990e+03
3.742117e-04	1.096794e+03
4.057390e-04	1.098597e+03
4.400541e-04	1.100401e+03
4.771608e-04	1.102204e+03
5.171677e-04	1.104008e+03
5.602845e-04	1.105812e+03
6.067303e-04	1.107615e+03
6.571008e-04	1.109419e+03
7.116202e-04	1.111222e+03
7.703321e-04	1.113026e+03
8.335315e-04	1.114830e+03
9.015311e-04	1.116633e+03
9.750153e-04	1.118437e+03
1.054631e-03	1.120240e+03
1.140270e-03	1.122044e+03
1.232349e-03	1.123848e+03
1.331307e-03	1.125651e+03
1.437881e-03	1.127455e+03
1.553455e-03	1.129259e+03
1.677632e-03	1.131062e+03
1.810997e-03	1.132866e+03
1.954183e-03	1.134669e+03
2.107861e-03	1.136473e+03
2.274670e-03	1.138277e+03
2.453702e-03	1.140080e+03
2.645793e-03	1.141884e+03
2.851795e-03	1.143687e+03
3.072628e-03	1.145491e+03
3.311587e-03	1.147295e+03
3.568306e-03	1.149098e+03
3.843435e-03	1.150902e+03
4.138187e-03	1.152705e+03
4.453877e-03	1.154509e+03
4.794315e-03	1.156313e+03
5.160424e-03	1.158116e+03
5.552437e-03	1.159920e+03
5.972011e-03	1.161723e+03
6.420884e-03	1.163527e+03
6.903392e-03	1.165331e+03
7.422887e-03	1.167134e+03
7.978545e-03	1.168938e+03
8.572678e-03	1.170741e+03
9.207816e-03	1.172545e+03
9.888331e-03	1.174349e+03
1.062170e-02	1.176152e+03
1.140553e-02	1.177956e+03
1.224287e-02	1.179760e+03
1.313702e-02	1.181563e+03
1.409223e-02	1.183367e+03
1.512279e-02	1.185170e+03
1.622305e-02	1.186974e+03
1.739752e-02	1.188778e+03
1.865068e-02	1.190581e+03
1.998723e-02	1.192385e+03
2.142646e-02	1.194188e+03
2.296414e-02	1.195992e+03
2.460385e-02	1.197796e+03
2.635215e-02	1.199599e+03
2.821538e-02	1.201403e+03
3.021517e-02	1.203206e+03
3.235459e-02	1.205010e+03
3.463422e-02	1.206814e+03
3.706231e-02	1.208617e+03
3.964854e-02	1.210421e+03
4.241605e-02	1.212224e+03
4.537948e-02	1.214028e+03
4.853544e-02	1.215832e+03
5.189429e-02	1.217635e+03
5.546834e-02	1.219439e+03
5.928260e-02	1.221242e+03
6.337136e-02	1.223046e+03
6.772171e-02	1.224850e+03
7.234900e-02	1.226653e+03
7.726851e-02	1.228457e+03
8.250375e-02	1.230261e+03
8.812225e-02	1.232064e+03
9.409474e-02	1.233868e+03
1.004435e-01	1.235671e+03
1.071883e-01	1.237475e+03
1.143529e-01	1.239279e+03
1.220341e-01	1.241082e+03
1.302014e-01	1.242886e+03
1.388758e-01	1.244689e+03
1.480848e-01	1.246493e+03
1.578594e-01	1.248297e+03
1.683084e-01	1.250100e+03
1.794307e-01	1.251904e+03
1.912335e-01	1.253707e+03
2.037540e-01	1.255511e+03
2.170328e-01	1.257315e+03
2.311839e-01	1.259118e+03
2.462631e-01	1.260922e+03
2.622510e-01	1.262725e+03
2.791961e-01	1.264529e+03
2.971550e-01	1.266333e+03
3.162344e-01	1.268136e+03
3.365792e-01	1.269940e+03
3.581315e-01	1.271743e+03
3.809553e-01	1.273547e+03
4.051276e-01	1.275351e+03
4.307296e-01	1.277154e+03
4.580488e-01	1.278958e+03
4.869552e-01	1.280762e+03
5.175366e-01	1.282565e+03
5.499041e-01	1.284369e+03
5.841151e-01	1.286172e+03
6.206022e-01	1.287976e+03
6.591812e-01	1.289780e+03
6.999747e-01	1.291583e+03
7.430862e-01	1.293387e+03
7.886337e-01	1.295190e+03
8.370914e-01	1.296994e+03
8.883569e-01	1.298798e+03
9.425455e-01	1.300601e+03
9.997382e-01	1.302405e+03
1.060147e+00	1.304208e+03
1.124211e+00	1.306012e+03
1.192126e+00	1.307816e+03
1.263855e+00	1.309619e+03
1.339558e+00	1.311423e+03
1.419485e+00	1.313226e+03
1.504076e+00	1.315030e+03
1.593867e+00	1.316834e+03
1.688672e+00	1.318637e+03
1.788771e+00	1.320441e+03
1.894408e+00	1.322244e+03
2.006078e+00	1.324048e+03
2.124774e+00	1.325852e+03
2.250184e+00	1.327655e+03
2.382477e+00	1.329459e+03
2.522320e+00	1.331263e+03
2.669775e+00	1.333066e+03
2.827014e+00	1.334870e+03
2.993040e+00	1.336673e+03
3.168468e+00	1.338477e+03
3.353767e+00	1.340281e+03
3.549363e+00	1.342084e+03
3.757727e+00	1.343888e+03
3.978065e+00	1.345691e+03
4.211443e+00	1.347495e+03
4.457478e+00	1.349299e+03
4.718318e+00	1.351102e+03
4.995008e+00	1.352906e+03
5.289301e+00	1.354709e+03
5.600198e+00	1.356513e+03
5.929211e+00	1.358317e+03
6.277289e+00	1.360120e+03
6.646664e+00	1.361924e+03
7.040730e+00	1.363727e+03
7.456642e+00	1.365531e+03
7.898443e+00	1.367335e+03
8.364512e+00	1.369138e+03
8.860656e+00	1.370942e+03
9.410956e+00	1.372745e+03
1.004784e+01	1.374549e+03
1.074960e+01	1.376353e+03
1.150750e+01	1.378156e+03
1.231063e+01	1.379960e+03
1.317817e+01	1.381764e+03
1.410265e+01	1.383567e+03
1.508751e+01	1.385371e+03
1.613639e+01	1.387174e+03
1.724209e+01	1.388978e+03
1.843371e+01	1.390782e+03
1.970875e+01	1.392585e+03
2.106588e+01	1.394389e+03
2.250995e+01	1.396192e+03
2.402499e+01	1.397996e+03
2.565245e+01	1.399800e+03
2.740202e+01	1.401603e+03
2.926259e+01	1.403407e+03
3.124066e+01	1.405210e+03
3.330600e+01	1.407014e+03
3.551720e+01	1.408818e+03
3.790581e+01	1.410621e+03
4.044381e+01	1.412425e+03
4.313977e+01	1.414228e+03
4.594129e+01	1.416032e+03
4.893033e+01	1.417836e+03
5.217528e+01	1.419639e+03
5.562025e+01	1.421443e+03
5.926886e+01	1.423246e+03
6.305814e+01	1.425050e+03
6.707856e+01	1.426854e+03
7.146537e+01	1.428657e+03
7.611874e+01	1.430461e+03
8.102615e+01	1.432265e+03
8.613365e+01	1.434068e+03
9.153896e+01	1.435872e+03
9.741717e+01	1.437675e+03
1.036728e+02	1.439479e+03
1.102422e+02	1.441283e+03
1.170943e+02	1.443086e+03
1.243401e+02	1.444890e+03
1.321667e+02	1.446693e+03
1.405370e+02	1.448497e+03
1.492906e+02	1.450301e+03
1.584410e+02	1.452104e+03
1.681096e+02	1.453908e+03
1.784818e+02	1.455711e+03
1.896302e+02	1.457515e+03
2.012418e+02	1.459319e+03
2.134063e+02	1.461122e+03
2.262499e+02	1.462926e+03
2.399331e+02	1.464729e+03
2.547148e+02	1.466533e+03
2.700501e+02	1.468337e+03
2.861502e+02	1.470140e+03
3.031363e+02	1.471944e+03
3.211073e+02	1.473747e+03
3.406202e+02	1.475551e+03
3.607869e+02	1.477355e+03
3.820037e+02	1.479158e+03
4.043717e+02	1.480962e+03
4.279477e+02	1.482766e+03
4.534988e+02	1.484569e+03
4.799295e+02	1.486373e+03
5.077710e+02	1.488176e+03
5.371021e+02	1.489980e+03
5.679950e+02	1.491784e+03
6.011661e+02	1.493587e+03
6.357188e+02	1.495391e+03
6.721027e+02	1.497194e+03
7.104060e+02	1.498998e+03
7.507205e+02	1.500802e+03
7.935958e+02	1.502605e+03
8.385990e+02	1.504409e+03
8.859542e+02	1.506212e+03
9.357728e+02	1.508016e+03
9.881713e+02	1.509820e+03
