#pressure (bar)	 temperature (K)
1.003057e-06	6.883768e+02
1.164761e-06	6.905411e+02
1.350268e-06	6.927054e+02
1.562771e-06	6.948697e+02
1.807591e-06	6.970341e+02
2.091580e-06	6.991984e+02
2.416333e-06	7.013627e+02
2.787050e-06	7.035271e+02
3.209699e-06	7.056914e+02
3.701252e-06	7.078557e+02
4.261494e-06	7.100200e+02
4.899182e-06	7.121844e+02
5.623952e-06	7.143487e+02
6.458220e-06	7.165130e+02
7.411743e-06	7.186774e+02
8.493558e-06	7.208417e+02
9.719295e-06	7.230060e+02
1.111624e-05	7.251703e+02
1.271731e-05	7.273347e+02
1.452850e-05	7.294990e+02
1.657466e-05	7.316633e+02
1.888428e-05	7.338277e+02
2.153796e-05	7.359920e+02
2.453143e-05	7.381563e+02
2.790371e-05	7.403206e+02
3.169810e-05	7.424850e+02
3.602000e-05	7.446493e+02
4.090665e-05	7.468136e+02
4.639593e-05	7.489780e+02
5.255515e-05	7.511423e+02
5.950649e-05	7.533066e+02
6.738637e-05	7.554709e+02
7.621484e-05	7.576353e+02
8.609465e-05	7.597996e+02
9.714715e-05	7.619639e+02
1.097044e-04	7.641283e+02
1.237355e-04	7.662926e+02
1.393961e-04	7.684569e+02
1.568575e-04	7.706212e+02
1.765485e-04	7.727856e+02
1.985876e-04	7.749499e+02
2.231218e-04	7.771142e+02
2.504086e-04	7.792786e+02
2.809203e-04	7.814429e+02
3.151326e-04	7.836072e+02
3.531174e-04	7.857715e+02
3.952552e-04	7.879359e+02
4.420104e-04	7.901002e+02
4.944963e-04	7.922645e+02
5.526123e-04	7.944289e+02
6.169153e-04	7.965932e+02
6.880202e-04	7.987575e+02
7.673160e-04	8.009218e+02
8.551444e-04	8.030862e+02
9.521034e-04	8.052505e+02
1.059071e-03	8.074148e+02
1.177519e-03	8.095792e+02
1.308755e-03	8.117435e+02
1.453216e-03	8.139078e+02
1.612157e-03	8.160721e+02
1.787198e-03	8.182365e+02
1.981109e-03	8.204008e+02
2.194018e-03	8.225651e+02
2.427694e-03	8.247295e+02
2.684064e-03	8.268938e+02
2.966777e-03	8.290581e+02
3.277301e-03	8.312224e+02
3.617569e-03	8.333868e+02
3.990115e-03	8.355511e+02
4.399010e-03	8.377154e+02
4.848035e-03	8.398798e+02
5.338980e-03	8.420441e+02
5.875741e-03	8.442084e+02
6.462451e-03	8.463727e+02
7.107218e-03	8.485371e+02
7.810990e-03	8.507014e+02
8.578598e-03	8.528657e+02
9.415102e-03	8.550301e+02
1.033258e-02	8.571944e+02
1.133436e-02	8.593587e+02
1.242539e-02	8.615230e+02
1.361266e-02	8.636874e+02
1.490925e-02	8.658517e+02
1.632704e-02	8.680160e+02
1.786928e-02	8.701804e+02
1.954500e-02	8.723447e+02
2.136660e-02	8.745090e+02
2.336291e-02	8.766733e+02
2.553083e-02	8.788377e+02
2.788316e-02	8.810020e+02
3.043320e-02	8.831663e+02
3.322227e-02	8.853307e+02
3.625403e-02	8.874950e+02
3.953893e-02	8.896593e+02
4.309542e-02	8.918236e+02
4.696619e-02	8.939880e+02
5.118190e-02	8.961523e+02
