#pressure (bar)	 temperature (K)
1.023219e-06	5.838063e+02
1.187320e-06	5.856427e+02
1.375378e-06	5.874791e+02
1.589736e-06	5.893155e+02
1.832599e-06	5.911519e+02
2.106944e-06	5.929883e+02
2.431970e-06	5.948247e+02
2.804742e-06	5.966611e+02
3.227692e-06	5.984975e+02
3.705286e-06	6.003339e+02
4.242163e-06	6.021703e+02
4.871447e-06	6.040067e+02
5.595154e-06	6.058431e+02
6.411589e-06	6.076795e+02
7.330316e-06	6.095159e+02
8.360806e-06	6.113523e+02
9.556987e-06	6.131886e+02
1.093166e-05	6.150250e+02
1.247963e-05	6.168614e+02
1.421435e-05	6.186978e+02
1.614779e-05	6.205342e+02
1.836858e-05	6.223706e+02
2.092806e-05	6.242070e+02
2.379927e-05	6.260434e+02
2.700673e-05	6.278798e+02
3.057750e-05	6.297162e+02
3.464553e-05	6.315526e+02
3.933980e-05	6.333890e+02
4.457965e-05	6.352254e+02
5.040053e-05	6.370618e+02
5.685499e-05	6.388982e+02
6.413678e-05	6.407346e+02
7.254925e-05	6.425710e+02
8.191138e-05	6.444073e+02
9.229766e-05	6.462437e+02
1.038004e-04	6.480801e+02
1.166807e-04	6.499165e+02
1.315535e-04	6.517529e+02
1.480171e-04	6.535893e+02
1.662562e-04	6.554257e+02
1.863722e-04	6.572621e+02
2.086602e-04	6.590985e+02
2.344965e-04	6.609349e+02
2.630630e-04	6.627713e+02
2.945695e-04	6.646077e+02
3.292232e-04	6.664441e+02
3.672117e-04	6.682805e+02
4.112815e-04	6.701169e+02
4.598939e-04	6.719533e+02
5.134298e-04	6.737896e+02
5.721851e-04	6.756260e+02
6.365063e-04	6.774624e+02
7.107479e-04	6.792988e+02
7.926268e-04	6.811352e+02
8.822606e-04	6.829716e+02
9.803062e-04	6.848080e+02
1.087245e-03	6.866444e+02
1.209664e-03	6.884808e+02
1.345067e-03	6.903172e+02
1.493136e-03	6.921536e+02
1.654812e-03	6.939900e+02
1.830753e-03	6.958264e+02
2.029837e-03	6.976628e+02
2.250761e-03	6.994992e+02
2.491966e-03	7.013356e+02
2.754617e-03	7.031720e+02
3.040028e-03	7.050083e+02
3.361155e-03	7.068447e+02
3.718097e-03	7.086811e+02
4.106104e-03	7.105175e+02
4.526921e-03	7.123539e+02
4.983157e-03	7.141903e+02
5.492030e-03	7.160267e+02
6.058829e-03	7.178631e+02
6.674458e-03	7.196995e+02
7.341820e-03	7.215359e+02
8.063587e-03	7.233723e+02
8.859937e-03	7.252087e+02
9.748952e-03	7.270451e+02
1.071352e-02	7.288815e+02
1.175670e-02	7.307179e+02
1.288468e-02	7.325543e+02
1.412326e-02	7.343907e+02
1.550948e-02	7.362270e+02
1.700546e-02	7.380634e+02
1.861733e-02	7.398998e+02
2.035365e-02	7.417362e+02
2.224514e-02	7.435726e+02
2.436715e-02	7.454090e+02
2.666067e-02	7.472454e+02
2.913142e-02	7.490818e+02
3.178541e-02	7.509182e+02
3.464712e-02	7.527546e+02
3.786450e-02	7.545910e+02
4.132780e-02	7.564274e+02
4.505728e-02	7.582638e+02
4.906841e-02	7.601002e+02
5.337602e-02	7.619366e+02
5.822690e-02	7.637730e+02
6.342414e-02	7.656093e+02
6.899733e-02	7.674457e+02
7.498323e-02	7.692821e+02
8.138618e-02	7.711185e+02
8.857116e-02	7.729549e+02
9.629997e-02	7.747913e+02
1.045756e-01	7.766277e+02
1.134158e-01	7.784641e+02
1.228535e-01	7.803005e+02
1.333633e-01	7.821369e+02
1.446968e-01	7.839733e+02
1.568310e-01	7.858097e+02
1.698038e-01	7.876461e+02
1.836222e-01	7.894825e+02
1.988528e-01	7.913189e+02
2.153499e-01	7.931553e+02
2.330018e-01	7.949917e+02
2.518102e-01	7.968280e+02
2.718212e-01	7.986644e+02
2.938205e-01	8.005008e+02
3.177188e-01	8.023372e+02
3.430825e-01	8.041736e+02
3.700512e-01	8.060100e+02
3.987696e-01	8.078464e+02
4.301308e-01	8.096828e+02
4.642176e-01	8.115192e+02
5.004523e-01	8.133556e+02
5.390421e-01	8.151920e+02
5.798634e-01	8.170284e+02
6.240405e-01	8.188648e+02
6.722932e-01	8.207012e+02
7.236278e-01	8.225376e+02
7.780425e-01	8.243740e+02
8.357052e-01	8.262104e+02
8.978255e-01	8.280467e+02
9.655983e-01	8.298831e+02
1.037449e+00	8.317195e+02
1.113887e+00	8.335559e+02
1.194728e+00	8.353923e+02
1.281075e+00	8.372287e+02
1.376058e+00	8.390651e+02
1.476290e+00	8.409015e+02
1.582103e+00	8.427379e+02
1.694326e+00	8.445743e+02
1.813597e+00	8.464107e+02
1.944465e+00	8.482471e+02
2.083412e+00	8.500835e+02
2.229981e+00	8.519199e+02
2.383916e+00	8.537563e+02
2.547363e+00	8.555927e+02
2.727113e+00	8.574290e+02
2.916823e+00	8.592654e+02
3.117826e+00	8.611018e+02
3.329355e+00	8.629382e+02
3.551677e+00	8.647746e+02
3.796090e+00	8.666110e+02
4.054040e+00	8.684474e+02
4.326864e+00	8.702838e+02
4.614312e+00	8.721202e+02
4.916402e+00	8.739566e+02
5.247441e+00	8.757930e+02
5.596509e+00	8.776294e+02
5.964414e+00	8.794658e+02
6.352029e+00	8.813022e+02
6.758289e+00	8.831386e+02
7.201500e+00	8.849750e+02
7.671873e+00	8.868114e+02
8.165184e+00	8.886477e+02
8.683905e+00	8.904841e+02
9.227646e+00	8.923205e+02
9.919452e+00	8.941569e+02
1.069591e+01	8.959933e+02
1.155262e+01	8.978297e+02
1.247265e+01	8.996661e+02
1.346026e+01	9.015025e+02
1.439772e+01	9.033389e+02
1.553863e+01	9.051753e+02
1.676315e+01	9.070117e+02
1.807690e+01	9.088481e+02
1.938624e+01	9.106845e+02
2.062056e+01	9.125209e+02
2.222495e+01	9.143573e+02
2.394500e+01	9.161937e+02
2.578834e+01	9.180301e+02
2.743815e+01	9.198664e+02
2.906369e+01	9.217028e+02
3.127932e+01	9.235392e+02
3.365165e+01	9.253756e+02
3.619086e+01	9.272120e+02
3.820677e+01	9.290484e+02
4.030083e+01	9.308848e+02
4.330415e+01	9.327212e+02
4.651533e+01	9.345576e+02
4.993361e+01	9.363940e+02
5.233678e+01	9.382304e+02
5.497692e+01	9.400668e+02
5.897277e+01	9.419032e+02
6.323852e+01	9.437396e+02
6.747886e+01	9.455760e+02
7.054016e+01	9.474124e+02
7.380128e+01	9.492487e+02
7.902155e+01	9.510851e+02
8.458511e+01	9.529215e+02
8.965623e+01	9.547579e+02
9.358993e+01	9.565943e+02
9.766748e+01	9.584307e+02
1.042443e+02	9.602671e+02
1.113743e+02	9.621035e+02
1.173297e+02	9.639399e+02
1.223174e+02	9.657763e+02
1.274815e+02	9.676127e+02
1.354911e+02	9.694491e+02
1.444802e+02	9.712855e+02
1.513683e+02	9.731219e+02
1.576147e+02	9.749583e+02
1.640754e+02	9.767947e+02
1.736734e+02	9.786311e+02
1.848370e+02	9.804674e+02
1.927082e+02	9.823038e+02
2.004429e+02	9.841402e+02
2.084358e+02	9.859766e+02
2.197743e+02	9.878130e+02
2.331866e+02	9.896494e+02
2.423662e+02	9.914858e+02
2.518467e+02	9.933222e+02
2.616357e+02	9.951586e+02
2.748664e+02	9.969950e+02
2.903014e+02	9.988314e+02
3.014588e+02	1.000668e+03
3.129736e+02	1.002504e+03
3.248544e+02	1.004341e+03
3.401332e+02	1.006177e+03
3.577746e+02	1.008013e+03
3.712257e+02	1.009850e+03
3.850988e+02	1.011686e+03
3.994038e+02	1.013523e+03
4.168965e+02	1.015359e+03
4.369584e+02	1.017195e+03
4.530592e+02	1.019032e+03
4.696557e+02	1.020868e+03
4.867597e+02	1.022705e+03
5.066495e+02	1.024541e+03
5.293849e+02	1.026377e+03
5.485378e+02	1.028214e+03
5.682710e+02	1.030050e+03
5.885980e+02	1.031886e+03
6.110941e+02	1.033723e+03
6.368038e+02	1.035559e+03
6.594658e+02	1.037396e+03
6.828047e+02	1.039232e+03
7.068363e+02	1.041068e+03
7.321832e+02	1.042905e+03
7.612256e+02	1.044741e+03
7.879164e+02	1.046578e+03
8.153949e+02	1.048414e+03
8.436794e+02	1.050250e+03
8.727881e+02	1.052087e+03
9.049666e+02	1.053923e+03
9.362785e+02	1.055760e+03
9.685052e+02	1.057596e+03
