#pressure (bar)	 temperature (K)
1.089629e-06	1.366733e+03
1.207741e-06	1.369739e+03
1.338411e-06	1.372745e+03
1.482654e-06	1.375752e+03
1.641623e-06	1.378758e+03
1.817207e-06	1.381764e+03
2.010912e-06	1.384770e+03
2.224174e-06	1.387776e+03
2.459347e-06	1.390782e+03
2.718627e-06	1.393788e+03
3.003800e-06	1.396794e+03
3.317782e-06	1.399800e+03
3.663718e-06	1.402806e+03
4.043822e-06	1.405812e+03
4.461700e-06	1.408818e+03
4.921780e-06	1.411824e+03
5.426803e-06	1.414830e+03
5.981211e-06	1.417836e+03
6.591166e-06	1.420842e+03
7.260037e-06	1.423848e+03
7.993287e-06	1.426854e+03
8.799403e-06	1.429860e+03
9.682517e-06	1.432866e+03
1.064957e-05	1.435872e+03
1.171135e-05	1.438878e+03
1.287371e-05	1.441884e+03
1.414533e-05	1.444890e+03
1.553944e-05	1.447896e+03
1.706464e-05	1.450902e+03
1.873162e-05	1.453908e+03
2.055657e-05	1.456914e+03
2.255180e-05	1.459920e+03
2.473041e-05	1.462926e+03
2.711223e-05	1.465932e+03
2.971447e-05	1.468938e+03
3.255320e-05	1.471944e+03
3.565258e-05	1.474950e+03
3.903639e-05	1.477956e+03
4.272427e-05	1.480962e+03
4.674556e-05	1.483968e+03
5.113272e-05	1.486974e+03
5.590966e-05	1.489980e+03
6.111196e-05	1.492986e+03
6.678338e-05	1.495992e+03
7.295300e-05	1.498998e+03
7.966385e-05	1.502004e+03
8.697433e-05	1.505010e+03
9.491975e-05	1.508016e+03
1.035521e-04	1.511022e+03
1.129484e-04	1.514028e+03
1.231516e-04	1.517034e+03
1.342270e-04	1.520040e+03
1.462676e-04	1.523046e+03
1.593334e-04	1.526052e+03
1.735036e-04	1.529058e+03
1.888899e-04	1.532064e+03
2.055751e-04	1.535070e+03
2.236545e-04	1.538076e+03
2.432627e-04	1.541082e+03
2.645113e-04	1.544088e+03
2.875154e-04	1.547094e+03
3.124364e-04	1.550100e+03
3.394234e-04	1.553106e+03
3.686146e-04	1.556112e+03
4.002032e-04	1.559118e+03
4.343866e-04	1.562124e+03
4.713305e-04	1.565130e+03
5.112653e-04	1.568136e+03
5.544495e-04	1.571142e+03
6.010818e-04	1.574148e+03
6.514366e-04	1.577154e+03
7.058498e-04	1.580160e+03
7.645584e-04	1.583166e+03
8.278889e-04	1.586172e+03
8.962741e-04	1.589178e+03
9.699974e-04	1.592184e+03
1.049450e-03	1.595190e+03
1.135172e-03	1.598196e+03
1.227515e-03	1.601202e+03
1.326955e-03	1.604208e+03
1.434130e-03	1.607214e+03
1.549507e-03	1.610220e+03
1.673651e-03	1.613226e+03
1.807320e-03	1.616232e+03
1.951123e-03	1.619238e+03
2.105729e-03	1.622244e+03
2.272035e-03	1.625251e+03
2.450831e-03	1.628257e+03
2.642909e-03	1.631263e+03
2.849325e-03	1.634269e+03
3.071097e-03	1.637275e+03
3.309161e-03	1.640281e+03
3.564757e-03	1.643287e+03
3.839185e-03	1.646293e+03
4.133551e-03	1.649299e+03
4.449306e-03	1.652305e+03
4.788104e-03	1.655311e+03
5.151241e-03	1.658317e+03
5.540421e-03	1.661323e+03
5.957726e-03	1.664329e+03
6.404678e-03	1.667335e+03
6.883271e-03	1.670341e+03
7.396112e-03	1.673347e+03
7.944985e-03	1.676353e+03
8.532264e-03	1.679359e+03
9.161061e-03	1.682365e+03
9.833601e-03	1.685371e+03
1.055268e-02	1.688377e+03
1.132193e-02	1.691383e+03
1.214420e-02	1.694389e+03
1.302275e-02	1.697395e+03
1.396180e-02	1.700401e+03
1.496496e-02	1.703407e+03
1.603603e-02	1.706413e+03
1.717993e-02	1.709419e+03
1.840117e-02	1.712425e+03
1.970420e-02	1.715431e+03
2.109469e-02	1.718437e+03
2.257833e-02	1.721443e+03
2.416023e-02	1.724449e+03
2.584699e-02	1.727455e+03
2.764568e-02	1.730461e+03
2.956220e-02	1.733467e+03
3.160419e-02	1.736473e+03
3.378039e-02	1.739479e+03
3.609762e-02	1.742485e+03
3.856468e-02	1.745491e+03
4.119236e-02	1.748497e+03
4.398849e-02	1.751503e+03
4.696321e-02	1.754509e+03
5.012977e-02	1.757515e+03
5.349717e-02	1.760521e+03
5.707735e-02	1.763527e+03
6.088554e-02	1.766533e+03
6.493309e-02	1.769539e+03
6.923367e-02	1.772545e+03
7.380479e-02	1.775551e+03
7.866058e-02	1.778557e+03
8.381673e-02	1.781563e+03
8.929331e-02	1.784569e+03
9.510783e-02	1.787575e+03
1.012782e-01	1.790581e+03
1.078274e-01	1.793587e+03
1.147771e-01	1.796593e+03
1.221476e-01	1.799599e+03
1.299654e-01	1.802605e+03
1.382567e-01	1.805611e+03
1.470449e-01	1.808617e+03
1.563599e-01	1.811623e+03
1.662342e-01	1.814629e+03
1.766942e-01	1.817635e+03
1.877736e-01	1.820641e+03
1.995124e-01	1.823647e+03
2.119402e-01	1.826653e+03
2.250954e-01	1.829659e+03
2.390264e-01	1.832665e+03
2.537667e-01	1.835671e+03
2.693602e-01	1.838677e+03
2.858642e-01	1.841683e+03
3.033176e-01	1.844689e+03
3.217709e-01	1.847695e+03
3.412893e-01	1.850701e+03
3.619207e-01	1.853707e+03
3.837219e-01	1.856713e+03
4.067670e-01	1.859719e+03
4.311147e-01	1.862725e+03
4.568292e-01	1.865731e+03
4.839936e-01	1.868737e+03
5.126805e-01	1.871743e+03
5.429616e-01	1.874749e+03
5.749306e-01	1.877756e+03
6.086760e-01	1.880762e+03
6.442778e-01	1.883768e+03
6.818416e-01	1.886774e+03
7.214751e-01	1.889780e+03
7.632673e-01	1.892786e+03
8.073361e-01	1.895792e+03
8.538130e-01	1.898798e+03
9.027963e-01	1.901804e+03
9.544175e-01	1.904810e+03
1.008836e+00	1.907816e+03
1.066161e+00	1.910822e+03
1.126538e+00	1.913828e+03
1.190160e+00	1.916834e+03
1.257146e+00	1.919840e+03
1.327662e+00	1.922846e+03
1.401931e+00	1.925852e+03
1.480092e+00	1.928858e+03
1.562332e+00	1.931864e+03
1.648899e+00	1.934870e+03
1.739968e+00	1.937876e+03
1.835743e+00	1.940882e+03
1.936501e+00	1.943888e+03
2.042457e+00	1.946894e+03
2.153836e+00	1.949900e+03
2.270946e+00	1.952906e+03
2.394050e+00	1.955912e+03
2.523394e+00	1.958918e+03
2.659320e+00	1.961924e+03
2.802149e+00	1.964930e+03
2.952150e+00	1.967936e+03
3.109697e+00	1.970942e+03
3.275186e+00	1.973948e+03
3.448904e+00	1.976954e+03
3.631265e+00	1.979960e+03
3.822749e+00	1.982966e+03
4.023667e+00	1.985972e+03
4.234466e+00	1.988978e+03
4.455736e+00	1.991984e+03
4.687800e+00	1.994990e+03
4.931154e+00	1.997996e+03
5.186499e+00	2.001002e+03
5.454195e+00	2.004008e+03
5.734778e+00	2.007014e+03
6.029050e+00	2.010020e+03
6.337433e+00	2.013026e+03
6.660537e+00	2.016032e+03
6.999214e+00	2.019038e+03
7.354025e+00	2.022044e+03
7.723521e+00	2.025050e+03
8.083179e+00	2.028056e+03
8.458495e+00	2.031062e+03
8.849967e+00	2.034068e+03
9.258427e+00	2.037074e+03
9.684104e+00	2.040080e+03
1.012796e+01	2.043086e+03
1.059007e+01	2.046092e+03
1.107239e+01	2.049098e+03
1.157511e+01	2.052104e+03
1.209749e+01	2.055110e+03
1.264354e+01	2.058116e+03
1.321247e+01	2.061122e+03
1.380229e+01	2.064128e+03
1.441976e+01	2.067134e+03
1.506286e+01	2.070140e+03
1.572802e+01	2.073146e+03
1.642544e+01	2.076152e+03
1.715154e+01	2.079158e+03
1.790136e+01	2.082164e+03
1.868757e+01	2.085170e+03
1.950646e+01	2.088176e+03
2.035221e+01	2.091182e+03
2.123602e+01	2.094188e+03
2.215850e+01	2.097194e+03
2.311141e+01	2.100200e+03
2.410375e+01	2.103206e+03
2.514178e+01	2.106212e+03
2.621428e+01	2.109218e+03
2.732713e+01	2.112224e+03
2.849390e+01	2.115230e+03
2.969972e+01	2.118236e+03
3.094626e+01	2.121242e+03
3.225632e+01	2.124248e+03
3.361064e+01	2.127255e+03
3.500528e+01	2.130261e+03
3.647466e+01	2.133267e+03
3.799421e+01	2.136273e+03
3.955274e+01	2.139279e+03
4.119909e+01	2.142285e+03
4.290232e+01	2.145291e+03
4.464197e+01	2.148297e+03
4.648470e+01	2.151303e+03
4.839192e+01	2.154309e+03
5.033154e+01	2.157315e+03
5.239196e+01	2.160321e+03
5.452553e+01	2.163327e+03
5.668979e+01	2.166333e+03
5.898715e+01	2.169339e+03
6.137165e+01	2.172345e+03
6.378667e+01	2.175351e+03
6.634287e+01	2.178357e+03
6.900535e+01	2.181363e+03
7.169978e+01	2.184369e+03
7.454173e+01	2.187375e+03
7.751001e+01	2.190381e+03
8.051016e+01	2.193387e+03
8.366463e+01	2.196393e+03
8.697039e+01	2.199399e+03
9.031072e+01	2.202405e+03
9.380918e+01	2.205411e+03
9.748629e+01	2.208417e+03
1.012030e+02	2.211423e+03
1.050789e+02	2.214429e+03
1.091652e+02	2.217435e+03
1.132971e+02	2.220441e+03
1.175865e+02	2.223447e+03
1.221234e+02	2.226453e+03
1.267128e+02	2.229459e+03
1.314549e+02	2.232465e+03
1.364874e+02	2.235471e+03
1.415808e+02	2.238477e+03
1.468179e+02	2.241483e+03
