#pressure (bar)	 temperature (K)
1.102643e-06	1.216433e+03
1.229234e-06	1.219439e+03
1.369953e-06	1.222445e+03
1.526195e-06	1.225451e+03
1.699135e-06	1.228457e+03
1.890993e-06	1.231463e+03
2.103888e-06	1.234469e+03
2.339246e-06	1.237475e+03
2.599837e-06	1.240481e+03
2.888846e-06	1.243487e+03
3.207960e-06	1.246493e+03
3.560608e-06	1.249499e+03
3.951518e-06	1.252505e+03
4.382641e-06	1.255511e+03
4.858161e-06	1.258517e+03
5.385034e-06	1.261523e+03
5.965444e-06	1.264529e+03
6.604462e-06	1.267535e+03
7.312116e-06	1.270541e+03
8.090858e-06	1.273547e+03
8.947292e-06	1.276553e+03
9.893993e-06	1.279559e+03
1.093537e-05	1.282565e+03
1.207944e-05	1.285571e+03
1.334182e-05	1.288577e+03
1.472994e-05	1.291583e+03
1.625337e-05	1.294589e+03
1.793138e-05	1.297595e+03
1.977590e-05	1.300601e+03
2.179817e-05	1.303607e+03
2.402177e-05	1.306613e+03
2.646526e-05	1.309619e+03
2.914160e-05	1.312625e+03
3.207934e-05	1.315631e+03
3.530665e-05	1.318637e+03
3.883814e-05	1.321643e+03
4.270803e-05	1.324649e+03
4.695819e-05	1.327655e+03
5.160461e-05	1.330661e+03
5.668780e-05	1.333667e+03
6.226911e-05	1.336673e+03
6.836526e-05	1.339679e+03
7.502351e-05	1.342685e+03
8.233255e-05	1.345691e+03
9.030872e-05	1.348697e+03
9.900876e-05	1.351703e+03
1.085517e-04	1.354709e+03
1.189596e-04	1.357715e+03
1.303023e-04	1.360721e+03
1.427239e-04	1.363727e+03
1.562690e-04	1.366733e+03
1.710183e-04	1.369739e+03
1.871449e-04	1.372745e+03
2.047270e-04	1.375752e+03
2.238569e-04	1.378758e+03
2.447404e-04	1.381764e+03
2.675049e-04	1.384770e+03
2.922537e-04	1.387776e+03
3.192298e-04	1.390782e+03
3.486310e-04	1.393788e+03
3.805702e-04	1.396794e+03
4.153312e-04	1.399800e+03
4.532111e-04	1.402806e+03
4.943293e-04	1.405812e+03
5.390145e-04	1.408818e+03
5.877013e-04	1.411824e+03
6.405106e-04	1.414830e+03
6.978179e-04	1.417836e+03
7.602471e-04	1.420842e+03
8.279126e-04	1.423848e+03
9.012375e-04	1.426854e+03
9.811029e-04	1.429860e+03
1.067604e-03	1.432866e+03
1.161256e-03	1.435872e+03
1.263149e-03	1.438878e+03
1.373480e-03	1.441884e+03
1.492845e-03	1.444890e+03
1.622531e-03	1.447896e+03
1.762941e-03	1.450902e+03
1.914745e-03	1.453908e+03
2.079443e-03	1.456914e+03
2.257742e-03	1.459920e+03
2.450378e-03	1.462926e+03
2.659090e-03	1.465932e+03
2.885014e-03	1.468938e+03
3.128942e-03	1.471944e+03
3.392870e-03	1.474950e+03
3.678533e-03	1.477956e+03
3.986756e-03	1.480962e+03
4.319815e-03	1.483968e+03
4.680257e-03	1.486974e+03
5.068914e-03	1.489980e+03
5.488348e-03	1.492986e+03
5.942210e-03	1.495992e+03
6.431287e-03	1.498998e+03
6.958432e-03	1.502004e+03
7.528770e-03	1.505010e+03
8.142974e-03	1.508016e+03
8.804189e-03	1.511022e+03
9.519449e-03	1.514028e+03
1.028926e-02	1.517034e+03
1.111749e-02	1.520040e+03
1.201227e-02	1.523046e+03
1.297524e-02	1.526052e+03
1.401064e-02	1.529058e+03
1.512786e-02	1.532064e+03
1.633012e-02	1.535070e+03
1.762205e-02	1.538076e+03
1.901437e-02	1.541082e+03
2.051255e-02	1.544088e+03
2.212154e-02	1.547094e+03
2.385347e-02	1.550100e+03
2.571693e-02	1.553106e+03
2.771706e-02	1.556112e+03
2.986751e-02	1.559118e+03
3.218107e-02	1.562124e+03
3.466287e-02	1.565130e+03
3.732818e-02	1.568136e+03
4.019536e-02	1.571142e+03
4.326933e-02	1.574148e+03
4.656690e-02	1.577154e+03
5.011387e-02	1.580160e+03
5.391456e-02	1.583166e+03
5.798728e-02	1.586172e+03
6.236756e-02	1.589178e+03
6.705861e-02	1.592184e+03
7.208100e-02	1.595190e+03
7.748011e-02	1.598196e+03
8.326019e-02	1.601202e+03
8.944526e-02	1.604208e+03
9.608691e-02	1.607214e+03
1.031969e-01	1.610220e+03
1.108010e-01	1.613226e+03
1.189577e-01	1.616232e+03
1.276890e-01	1.619238e+03
1.370224e-01	1.622244e+03
1.470234e-01	1.625251e+03
1.577284e-01	1.628257e+03
1.691657e-01	1.631263e+03
1.814084e-01	1.634269e+03
1.945122e-01	1.637275e+03
2.085054e-01	1.640281e+03
2.234688e-01	1.643287e+03
2.394835e-01	1.646293e+03
2.565769e-01	1.649299e+03
2.748371e-01	1.652305e+03
2.943792e-01	1.655311e+03
3.152273e-01	1.658317e+03
3.374769e-01	1.661323e+03
3.612868e-01	1.664329e+03
3.866757e-01	1.667335e+03
4.137454e-01	1.670341e+03
4.427115e-01	1.673347e+03
4.735841e-01	1.676353e+03
5.064800e-01	1.679359e+03
5.416560e-01	1.682365e+03
5.791410e-01	1.685371e+03
6.190642e-01	1.688377e+03
6.617134e-01	1.691383e+03
7.071608e-01	1.694389e+03
7.555423e-01	1.697395e+03
8.071778e-01	1.700401e+03
8.621994e-01	1.703407e+03
9.207468e-01	1.706413e+03
9.831734e-01	1.709419e+03
1.049691e+00	1.712425e+03
1.120439e+00	1.715431e+03
1.195805e+00	1.718437e+03
1.276107e+00	1.721443e+03
1.361477e+00	1.724449e+03
1.452335e+00	1.727455e+03
1.549140e+00	1.730461e+03
1.652006e+00	1.733467e+03
1.761387e+00	1.736473e+03
1.877919e+00	1.739479e+03
2.001691e+00	1.742485e+03
2.133181e+00	1.745491e+03
2.273256e+00	1.748497e+03
2.421968e+00	1.751503e+03
2.579803e+00	1.754509e+03
2.747927e+00	1.757515e+03
2.926338e+00	1.760521e+03
3.115591e+00	1.763527e+03
3.316994e+00	1.766533e+03
3.530686e+00	1.769539e+03
3.757261e+00	1.772545e+03
3.998148e+00	1.775551e+03
4.253667e+00	1.778557e+03
4.524474e+00	1.781563e+03
4.812057e+00	1.784569e+03
5.117084e+00	1.787575e+03
5.440169e+00	1.790581e+03
5.782853e+00	1.793587e+03
6.146317e+00	1.796593e+03
6.530911e+00	1.799599e+03
6.938504e+00	1.802605e+03
7.370627e+00	1.805611e+03
7.827509e+00	1.808617e+03
8.311303e+00	1.811623e+03
8.823681e+00	1.814629e+03
9.366754e+00	1.817635e+03
9.943513e+00	1.820641e+03
1.055666e+01	1.823647e+03
1.120618e+01	1.826653e+03
1.188564e+01	1.829659e+03
1.261242e+01	1.832665e+03
1.338104e+01	1.835671e+03
1.417954e+01	1.838677e+03
1.503561e+01	1.841683e+03
1.594319e+01	1.844689e+03
1.688535e+01	1.847695e+03
1.788572e+01	1.850701e+03
1.895505e+01	1.853707e+03
2.006448e+01	1.856713e+03
2.123081e+01	1.859719e+03
2.248807e+01	1.862725e+03
2.379185e+01	1.865731e+03
2.514864e+01	1.868737e+03
2.662376e+01	1.871743e+03
2.815294e+01	1.874749e+03
2.972786e+01	1.877756e+03
3.145504e+01	1.880762e+03
3.324512e+01	1.883768e+03
3.506934e+01	1.886774e+03
3.708755e+01	1.889780e+03
3.917907e+01	1.892786e+03
4.128767e+01	1.895792e+03
4.364126e+01	1.898798e+03
4.608042e+01	1.901804e+03
4.851278e+01	1.904810e+03
5.125212e+01	1.907816e+03
5.409148e+01	1.910822e+03
5.689178e+01	1.913828e+03
6.007397e+01	1.916834e+03
6.337322e+01	1.919840e+03
6.661264e+01	1.922846e+03
7.028058e+01	1.925852e+03
7.410742e+01	1.928858e+03
7.786055e+01	1.931864e+03
8.206798e+01	1.934870e+03
8.649906e+01	1.937876e+03
9.083963e+01	1.940882e+03
9.565693e+01	1.943888e+03
1.007788e+02	1.946894e+03
1.057901e+02	1.949900e+03
1.112957e+02	1.952906e+03
1.172062e+02	1.955912e+03
1.229818e+02	1.958918e+03
1.292632e+02	1.961924e+03
1.360725e+02	1.964930e+03
1.427179e+02	1.967936e+03
1.498722e+02	1.970942e+03
1.577041e+02	1.973948e+03
1.653379e+02	1.976954e+03
1.734731e+02	1.979960e+03
1.824670e+02	1.982966e+03
1.912220e+02	1.985972e+03
2.004579e+02	1.988978e+03
2.107701e+02	1.991984e+03
2.207953e+02	1.994990e+03
2.312650e+02	1.997996e+03
2.430704e+02	2.001002e+03
2.545325e+02	2.004008e+03
2.664975e+02	2.007014e+03
2.798735e+02	2.010020e+03
2.929632e+02	2.013026e+03
3.066177e+02	2.016032e+03
3.217615e+02	2.019038e+03
3.366779e+02	2.022044e+03
3.522377e+02	2.025050e+03
3.693243e+02	2.028056e+03
3.863336e+02	2.031062e+03
4.040393e+02	2.034068e+03
4.233100e+02	2.037074e+03
4.426614e+02	2.040080e+03
4.627811e+02	2.043086e+03
4.844662e+02	2.046092e+03
5.064738e+02	2.049098e+03
5.293054e+02	2.052104e+03
5.536782e+02	2.055110e+03
5.786726e+02	2.058116e+03
6.045476e+02	2.061122e+03
6.301535e+02	2.064128e+03
6.555843e+02	2.067134e+03
6.817153e+02	2.070140e+03
7.089922e+02	2.073146e+03
7.374746e+02	2.076152e+03
7.666542e+02	2.079158e+03
7.969020e+02	2.082164e+03
8.286746e+02	2.085170e+03
8.612250e+02	2.088176e+03
8.949585e+02	2.091182e+03
9.301476e+02	2.094188e+03
9.664217e+02	2.097194e+03
