"Synthetic/composite Extraterrestrial Spectrum by Chris Gueymard, May 2003"	
"Reference: C. Gueymard, ""THE SUN�S TOTAL AND SPECTRAL IRRADIANCE FOR SOLAR ENERGY APPLICATIONS AND SOLAR RADIATION MODELS"", submitted to Solar Energy, 2003."	
"1st column: wavelength (nm) in vacuum below 280 nm, in air above 280 nm"	
2nd column: irradiance (W/m2 nm)	
Number of wavelengths: 2460	
"Resolution: variable, approximately equal to spectral step"	
Total irradiance (solar constant)=1366.1 W/m2	
Wavelength (nm)	Irradiance W/(m2 nm)
0.5	2.278E-06
1.5	1.219E-04
2.5	1.513E-05
3.5	2.519E-05
4.5	3.708E-05
5.5	4.610E-05
6.5	4.367E-05
7.5	3.115E-05
8.5	2.828E-05
9.5	1.652E-05
10.5	6.771E-06
11.5	3.362E-06
12.5	1.756E-06
13.5	1.958E-06
14.5	2.140E-05
15.5	1.636E-05
16.5	3.398E-05
17.5	5.008E-04
18.5	2.875E-04
19.5	2.038E-04
20.5	1.958E-04
21.5	9.410E-05
22.5	1.025E-04
23.5	2.287E-05
24.5	4.762E-05
25.5	1.173E-04
26.5	4.025E-05
27.5	8.475E-05
28.5	8.556E-05
29.5	4.375E-05
30.5	6.252E-04
31.5	1.190E-04
32.5	1.593E-04
33.5	1.566E-04
34.5	6.937E-05
35.5	5.933E-05
36.5	8.039E-05
37.5	1.383E-05
38.5	5.931E-06
39.5	5.832E-06
40.5	9.781E-06
41.5	1.810E-05
42.5	4.798E-06
43.5	1.101E-05
44.5	4.389E-06
45.5	4.824E-06
46.5	1.738E-05
47.5	6.925E-06
48.5	1.155E-05
49.5	3.965E-05
50.5	1.680E-05
51.5	5.743E-06
52.5	9.808E-06
53.5	7.458E-06
54.5	4.843E-06
55.5	2.165E-05
56.5	6.578E-06
57.5	6.528E-06
58.5	3.689E-05
59.5	7.776E-06
60.5	3.112E-05
61.5	9.737E-06
62.5	4.209E-05
63.5	1.060E-05
64.5	2.442E-06
65.5	1.916E-06
66.5	1.709E-06
67.5	1.750E-06
68.5	6.027E-06
69.5	4.452E-06
70.5	1.172E-05
71.5	5.120E-06
72.5	3.833E-06
73.5	4.995E-06
74.5	6.155E-06
75.5	9.412E-06
76.5	2.379E-05
77.5	2.156E-05
78.5	3.043E-05
79.5	1.429E-05
80.5	1.468E-05
81.5	1.668E-05
82.5	2.465E-05
83.5	4.209E-05
84.5	3.061E-05
85.5	3.409E-05
86.5	3.613E-05
87.5	4.301E-05
88.5	4.915E-05
89.5	5.978E-05
90.5	7.044E-05
91.5	5.389E-05
92.5	1.922E-05
